n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex,flat
264,264,267216.42,0.99,0.94,1,45,0.95,799.3728877665,422748.2599484,8
265,265,374066.4056,0.96,0.99,1,50,0.95,808.4986304958,422746.9745942,4
266,266,291692.1283,0.91,0.91,1,45,0.96,754.3058883344,422750.6994977,2
267,267,364878.5617,0.99,0.96,1,50,1.0,807.8711302208,422770.7405284,10
268,268,-59880.0595,0.96,1.0,1,30,0.94,812.747751723,422742.6070136,4
269,269,269959.6075,0.98,0.97,1,45,0.91,808.0802969792,422730.1469489,6
270,270,70563.4903,0.91,0.93,1,35,1.0,762.8041307887,422769.4551742,6
271,271,277899.6071,0.95,0.97,1,45,0.91,795.9604335727,422730.789626,8
272,272,178748.7674,0.95,0.91,1,40,0.92,770.4657062098,422734.5145295,6
273,273,51680.6545,0.99,0.96,1,35,0.93,807.8711302208,422738.239433,4
274,274,477116.1036,0.98,0.95,1,55,0.96,799.5820545249,422750.6994977,2
275,275,372981.9271,0.97,0.94,1,50,1.0,791.2929788289,422769.4551742,6
276,276,472428.4455,1.0,0.95,1,55,0.95,807.6619634625,422748.9026254,10
277,277,67850.7321,0.94,0.92,1,35,0.96,770.6748729681,422751.3421748,4
278,278,490389.8599,0.91,0.99,1,55,0.96,788.2988581517,422751.3421748,4
279,279,584408.4775,0.98,0.94,1,60,0.94,795.3329332977,422741.9643365,2
280,280,-53060.7092,0.95,0.93,1,30,1.0,778.9639486641,422770.0978513,8
281,281,53317.8008,0.96,1.0,1,35,0.94,812.747751723,422743.2496907,6
282,282,481083.2482,0.94,0.98,1,55,0.99,796.169600331,422765.0875936,6
283,283,44660.8939,0.99,0.98,1,35,0.97,816.3693726751,422757.6377866,10
284,284,159375.1922,0.98,0.94,1,40,0.99,795.3329332977,422763.8022395,2
285,285,374793.2543,0.99,0.94,1,50,0.93,799.3728877665,422737.5967559,2
286,286,-56698.1542,0.96,0.95,1,30,0.98,791.5021455872,422760.077336,4
287,287,278939.7599,0.93,0.98,1,45,0.94,792.1296458622,422743.2496907,6
288,288,-63948.7557,0.98,0.98,1,30,0.95,812.3294182063,422747.6172713,6
289,289,271924.2044,0.97,0.93,1,45,0.97,787.0438576017,422756.3524325,6
290,290,272969.9192,0.92,1.0,1,45,1.0,796.5879338476,422768.8124971,4
291,291,-40603.0048,0.92,0.97,1,30,0.91,783.8405701662,422730.789626,8
292,292,167592.9088,0.94,0.96,1,40,0.99,787.6713578767,422763.8022395,2
293,293,589260.206,0.93,0.97,1,60,0.99,787.880524635,422765.7302707,8
294,294,477738.4478,0.98,0.97,1,55,0.92,808.0802969792,422735.1572066,8
295,295,282205.8126,0.91,0.98,1,45,0.96,784.0497369245,422752.627529,8
296,296,276852.6741,0.93,0.95,1,45,1.0,779.3822821807,422770.0978513,8
297,297,386659.1163,0.91,0.98,1,50,0.97,784.0497369245,422756.3524325,6
298,298,600253.4498,0.92,0.92,1,60,0.97,762.5949640304,422757.6377866,10
299,299,158483.3216,0.99,0.94,1,40,0.97,799.3728877665,422756.9951095,8
300,300,170010.9584,0.96,0.96,1,40,0.91,795.7512668143,422731.4323031,10
301,301,383281.0631,0.94,0.96,1,50,0.95,787.6713578767,422748.2599484,8
302,302,72433.2462,0.92,0.94,1,35,0.94,771.0932064847,422744.5350449,10
303,303,171364.2053,0.94,0.99,1,40,0.91,800.4187215581,422731.4323031,10
304,304,484191.5656,0.96,0.93,1,55,0.97,783.0039031329,422755.7097554,4
305,305,274395.3413,0.96,0.97,1,45,0.92,800.0003880415,422733.2291753,2
306,306,586947.017,0.95,1.0,1,60,0.91,808.7077972541,422729.5042718,4
307,307,476592.1288,0.98,0.96,1,55,0.95,803.831175752,422746.9745942,4
308,308,-61860.4112,0.98,0.93,1,30,1.0,791.0838120705,422769.4551742,6
309,309,380905.6172,0.98,0.92,1,50,0.92,786.8346908434,422735.7998837,10
310,310,-46366.4434,0.96,0.93,1,30,0.91,783.0039031329,422731.4323031,10
311,311,492393.3004,0.94,0.94,1,55,0.92,779.1731154224,422735.1572066,8
312,312,169042.9797,0.91,1.0,1,40,1.0,792.5479793788,422770.7405284,10
313,313,175005.6722,0.93,0.94,1,40,0.97,775.1331609536,422756.3524325,6
314,314,-51403.3783,0.97,0.93,1,30,0.93,787.0438576017,422740.1674643,10
315,315,265154.2782,0.98,0.96,1,45,0.97,803.831175752,422757.6377866,10
316,316,264901.6094,1.0,0.96,1,45,0.92,811.9110846897,422735.1572066,8
317,317,69468.3733,0.94,0.93,1,35,0.93,774.9239941952,422738.8821101,6
