n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
72,72.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.8,0.8,1.0,30.0,-348.4850846921644,101.56092597651714,480.2360922247281,2019.0887765939433,6.0
73,73.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,25.0,-841.4755315057427,22.074667526002244,725.1551152809101,661.7367940778461,8.0
74,74.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.8,1.0,0.9,60.0,336.66251061123296,107.28334889774962,560.4971152809101,1520.9408575293871,4.0
75,75.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.7,1.0,55.0,-495.08624063543937,37.369367951320605,479.9035806966371,1244.3367942678058,10.0
76,76.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.7,1.0,1.0,20.0,-647.4927717038779,22.074667526002244,540.5981152809101,533.3411084201972,6.0
77,77.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.9,0.9,20.0,-476.85668747767255,22.074667526002244,560.1646037528191,221.9666655190702,2.0
78,78.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.7,0.9,20.0,-437.13395178291813,26.590134359482544,479.9035806966371,427.3158949293005,4.0
79,79.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.8,0.7,1.0,55.0,-176.23892408835178,107.28334889774962,539.9935806966371,2149.82971560876,6.0
80,80.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.8,0.7,0.7,35.0,-129.1290324794105,107.28334889774962,440.10558069663705,854.4572649684934,2.0
81,81.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.9,0.8,0.9,40.0,-144.05175184560701,107.28334889774962,500.1350922247281,1520.9408575293871,4.0
82,82.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.9,0.7,0.7,45.0,358.16731955302504,107.28334889774962,460.0045806966371,854.4572649684934,2.0
83,83.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.8,0.8,20.0,-737.8115418788165,22.074667526002244,644.8940922247282,669.5343757329645,8.0
84,84.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.9,0.9,0.7,45.0,-23.55888808510333,107.28334889774962,609.7711637528191,2037.0455121642,6.0
85,85.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.9,0.8,0.8,20.0,-370.9647162327516,100.66422021179234,500.1350922247281,829.5671306875605,2.0
86,86.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.7,1.0,0.9,20.0,-642.9823265270799,22.074667526002244,540.5981152809101,525.5435267650787,6.0
87,87.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.7,0.8,0.9,35.0,-589.5512021080519,22.074667526002244,460.33709222472805,829.1203880110872,10.0
88,88.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.8,0.7,0.8,35.0,-178.4530652733611,107.28334889774962,501.88830069663703,892.0519994500135,2.0
