n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
858,858.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.9,60.0,-682.6686194664588,130.58794234320223,3391.9275405446633,2727.3622661534205,4.0
859,859.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.8,0.9,60.0,-68.37422865543519,130.58794234320223,2490.4164804841457,2727.3622661534205,4.0
860,860.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.7,0.9,60.0,-307.6313232495384,130.58794234320223,2578.5873004236273,3510.0077990509953,6.0
861,861.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,1.0,25.0,-1587.7522402015777,41.50495899604326,2801.2935405446633,700.6586703429214,6.0
862,862.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,1.0,1.0,60.0,-815.2050011614867,87.3084364982703,2783.8524804841454,2804.407602699597,10.0
863,863.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,1.0,1.0,55.0,-524.7398926993844,130.58794234320223,2619.6934204236272,2856.4812884154503,4.0
864,864.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.7,1.0,35.0,-1633.0054713970408,41.50495899604326,2742.746360484145,1005.6107053696289,10.0
865,865.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,0.7,0.9,50.0,-937.0986542698104,84.26963300998734,2742.746360484145,2185.7683284579057,8.0
866,866.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,40.0,-1626.12063974532,62.443653980531586,3317.199600605181,1169.505689112866,6.0
867,867.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.9,0.9,60.0,-916.4991874399187,106.29108532121222,2986.036980423627,3127.596730842898,8.0
868,868.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,1.0,0.9,55.0,-691.5705069682291,123.94374175228508,2619.6934204236272,3237.6190925725737,6.0
869,869.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,1.0,60.0,-1109.186429082321,101.2290504822933,3314.3551005446634,2988.7914934085843,8.0
870,870.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,1.0,0.9,30.0,-2018.9772284811006,41.50495899604326,3541.383420423627,828.8116260759891,8.0
871,871.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,55.0,-1705.0423786502656,68.23891945444271,3794.973600605181,1866.4619350104797,10.0
872,872.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,0.9,45.0,-875.3931313813893,130.58794234320223,3110.630260544663,2727.3622661534205,4.0
873,873.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,1.0,20.0,-2129.772992599484,41.50495899604326,3317.199600605181,1005.6107053696289,10.0
874,874.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,1.0,50.0,-1470.1958109613636,90.2139868922699,3541.383420423627,2056.043416929866,6.0
875,875.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,0.9,1.0,40.0,-1722.6932245230682,60.93331026846043,3466.655480484145,1377.1320590572682,8.0
876,876.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,40.0,-1815.6828608144476,41.50495899604326,3227.768480484145,1005.6107053696289,10.0
877,877.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,1.0,30.0,-1828.9334846208162,41.50495899604326,3063.6094204236274,1005.6107053696289,10.0
878,878.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.9,0.9,60.0,-478.87707504940283,130.58794234320223,3302.496420423627,1944.7167332558456,2.0
879,879.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,0.9,30.0,-1754.462122438044,41.50495899604326,3153.0405405446627,828.8116260759891,8.0
880,880.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,20.0,-1912.3350754618998,41.50495899604326,3317.199600605181,371.3835735359279,2.0
881,881.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,1.0,20.0,-1951.5555857041052,41.50495899604326,2818.734600605181,1005.6107053696289,10.0
882,882.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,1.0,1.0,25.0,-1707.4795073818364,41.50495899604326,2948.011540544663,548.1826528295676,4.0
883,883.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.9,40.0,-1786.6702958922724,52.38197966632623,3391.9275405446633,1094.79818477766,8.0
884,884.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,0.9,45.0,-1038.2307856503016,130.58794234320223,3391.9275405446633,2727.3622661534205,4.0
885,885.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,1.0,0.9,45.0,-880.943793685951,130.58794234320223,3518.0799405446633,1944.7167332558456,2.0
886,886.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,1.0,0.9,55.0,-1086.7210065938255,123.94374175228508,3353.920880484145,3237.6190925725737,6.0
887,887.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.9,1.0,60.0,-515.6361829747177,130.58794234320223,3302.496420423627,2856.4812884154503,4.0
888,888.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.9,0.9,40.0,-970.7802565021796,130.58794234320223,3314.3551005446634,1944.7167332558456,2.0
889,889.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.9,0.9,25.0,-1318.6910361073828,57.70311697755309,2472.975420423627,783.4723106493279,4.0
890,890.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,1.0,55.0,-834.0088646802242,115.69454427575643,2824.7224204236268,3016.8690470085025,6.0
891,891.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,0.9,55.0,-156.5038529229099,130.58794234320223,2326.257420423627,1944.7167332558456,2.0
892,892.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,40.0,-1809.5382777832667,63.93268598001005,3630.8145405446635,1167.9792324953817,6.0
893,893.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.8,1.0,45.0,-969.1220270900167,95.87431963506812,2818.734600605181,2259.177989013682,6.0
894,894.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.7,1.0,20.0,-1924.8295078772342,41.50495899604326,2988.881480484145,700.6586703429214,6.0
895,895.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.7,1.0,55.0,-444.9763704095509,130.58794234320223,2906.9054205446632,2856.4812884154503,4.0
896,896.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,45.0,-1701.5271179381693,52.38197966632623,3317.199600605181,1296.4470010963419,10.0
897,897.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,1.0,30.0,-1692.9892760396892,68.23891945444271,3391.9275405446633,1040.161079404463,4.0
898,898.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,0.9,55.0,-339.1466220555256,130.58794234320223,2326.257420423627,2727.3622661534205,4.0
899,899.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,45.0,-1895.1410740349388,58.508503492874055,3794.973600605181,1301.6371659668869,8.0
900,900.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.7,0.9,20.0,-1912.1141213880605,41.50495899604326,3153.0405405446627,523.8595910492817,4.0
901,901.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,30.0,-2054.242764313669,68.23891945444271,4033.8606006051814,1040.161079404463,4.0
902,902.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,0.8,1.0,35.0,-1275.921814202076,82.74649910419797,2946.471200484145,1402.841500496816,4.0
903,903.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.7,1.0,50.0,-1005.7314285514241,68.90193226572049,2507.857540544663,1645.1552771195327,8.0
904,904.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.8,0.9,25.0,-1792.5723552455254,41.50495899604326,3063.6094204236274,523.8595910492817,4.0
905,905.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,0.8,0.9,60.0,-428.8400720833304,130.58794234320223,3227.768480484145,2727.3622661534205,4.0
906,906.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,35.0,-1471.0335155546113,63.93268598001005,2986.036980423627,1209.7375804277608,6.0
907,907.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,1.0,55.0,-754.6048045907361,130.58794234320223,3518.0799405446633,2073.835755517876,2.0
908,908.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,55.0,-1211.3532162715078,130.58794234320223,4033.8606006051814,2727.3622661534205,4.0
909,909.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.9,25.0,-1923.718851356785,41.50495899604326,2965.452600605181,981.2876435893429,10.0
910,910.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.9,1.0,60.0,-309.6095661599223,130.58794234320223,3314.3551005446634,2073.835755517876,2.0
911,911.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.8,1.0,35.0,-1395.382321277809,52.38197966632623,2654.5755405446635,925.1719150704149,6.0
912,912.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,1.0,1.0,20.0,-1855.7582429795984,41.50495899604326,2783.8524804841454,1005.6107053696289,10.0
913,913.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,1.0,35.0,-593.4180527778103,130.58794234320223,2179.539420423627,2073.835755517876,2.0
914,914.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.8,1.0,35.0,-1321.7370387864337,63.93268598001005,2818.734600605181,1209.7375804277608,6.0
915,915.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.7,1.0,35.0,-747.7421381009633,130.58794234320223,2507.857540544663,2073.835755517876,2.0
916,916.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.9,0.9,60.0,-884.6707619161366,130.29885231276955,3302.496420423627,4278.034793040378,8.0
917,917.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.8,1.0,20.0,-1271.41833168574,52.38197966632623,2326.257420423627,521.8742824330508,2.0
918,918.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,1.0,20.0,-1468.6114299509131,41.50495899604326,2179.539420423627,700.6586703429214,6.0
919,919.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,1.0,25.0,-1254.9575440979252,41.50495899604326,2179.539420423627,700.6586703429214,6.0
920,920.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,0.9,40.0,-1758.9606493760405,41.50495899604326,3150.196040484145,981.2876435893429,10.0
921,921.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,1.0,50.0,-1141.203086245148,90.2139868922699,3071.064480605181,2056.043416929866,6.0
922,922.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,1.0,0.9,60.0,-1114.2355715115636,106.29108532121222,3353.920880484145,3127.596730842898,8.0
923,923.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,0.9,40.0,-873.5629727217142,130.58794234320223,3153.0405405446627,1944.7167332558456,2.0
924,924.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,35.0,-1336.2171873150542,68.90193226572049,2818.734600605181,1008.7296500105456,4.0
925,925.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,35.0,-1849.3540223054658,63.93268598001005,3630.8145405446635,945.6862133931053,4.0
926,926.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.9,0.9,60.0,87.93538227887146,130.58794234320223,2472.975420423627,1944.7167332558456,2.0
927,927.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,55.0,-1548.3515961854087,75.11727595467387,3794.973600605181,2211.998454397595,10.0
928,928.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.9,0.9,55.0,-650.9369374777217,130.58794234320223,3302.496420423627,2727.3622661534205,4.0
929,929.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,1.0,20.0,-1476.7353741520565,41.50495899604326,2326.257420423627,548.1826528295676,4.0
930,930.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,1.0,55.0,-999.7051988151368,77.9143539830844,2818.734600605181,1986.7584743191787,8.0
931,931.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.9,1.0,50.0,-554.2825816007528,130.58794234320223,2801.2935405446633,2073.835755517876,2.0
932,932.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.7,1.0,20.0,-1752.8020936354244,41.50495899604326,2672.0166006051813,1005.6107053696289,10.0
933,933.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,0.9,60.0,-718.7561109633164,130.29885231276955,2986.036980423627,4278.034793040378,8.0
934,934.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.7,0.9,25.0,-1479.5417863478563,41.50495899604326,2507.857540544663,828.8116260759891,8.0
935,935.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.9,45.0,-1244.429316065819,75.70171885222204,2965.452600605181,1504.654381282633,6.0
