n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
354,354,-310266.2632,0.9,0.8,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,85.33070431286825,67.47576075401034,35.109880411904854,1040.0673880288214,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.7416,18.5989,60706.81666043079,1183.927219658,1255.7800356,6
355,355,-157815.1792,0.7,0.9,1,35,1.0,2,1,0,0,1,1,1,0,1,1,0,62.880900514199176,41.71951752559774,29.623117690322914,910.5823984267863,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.7589,19.2283,37227.69482887364,754.8202204513,1239.5963448,4
356,356,80466.4688,0.7,0.8,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,52.616912302061,26.682814944170556,30.2186431237948,725.0334522115903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6563396848973485,7.2197,14.9449,23775.95122229775,385.8616686986,874.4592963,4
357,357,-266078.1619,0.7,0.9,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,92.32525198183669,71.19832080264081,38.00538357319622,1068.1437001052198,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,11.1315,21.3842,74139.10777891158,1665.0689146421,1322.062351,4
358,358,-86710.9355,0.9,0.9,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,76.57783012633108,55.809213104422696,31.059402684576668,739.4409274807127,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.1528,18.1555,55762.075575253,1056.3591217416,1112.1107429,2
359,359,16395.1108,0.8,0.9,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,80.935298726245,61.79485780254355,36.54284604460124,1020.9059985626254,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.23571975856032512,10.8212,17.8612,61911.97585893141,1168.1355035338,1332.6887966,6
360,360,-40884.2455,0.7,0.9,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,66.76172522128729,46.08433640219023,30.950516344688562,846.6298324047668,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.10742531707069346,11.0643,19.9901,48203.258161045276,1015.2808020737,1041.4294113,2
361,361,47059.5667,0.7,0.7,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,43.746432833509715,26.213001760975637,25.83242439853534,660.6856794088379,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.42362882789539885,13.9581,15.6713,28026.70069952486,472.5293965272,873.6555616,2
362,362,-614577.1707,0.8,0.7,1,25,1.0,2,1,0,0,1,1,1,0,1,1,0,82.7064929801969,59.40974541521982,30.735030100845,732.163532195025,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.2593,33.1992,42585.27048051794,1476.3729941687,1834.247308,10
363,363,-186383.0338,1.0,1.0,1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,50.196238306747716,29.123785709923617,28.323892777986323,759.2772168139664,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.491,14.5277,27552.579563792508,429.3285339353,908.673806,6
364,364,-94695.3119,1.0,1.0,1,45,1.0,2,1,0,0,1,1,1,0,1,1,0,72.44734775423254,51.613103347509764,27.43481399455333,734.9404247166102,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.8738,19.7089,51113.30571732321,1048.0478916185,1276.3924562,2
365,365,-604687.171,0.8,0.9,1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,76.95359727961487,58.12855484395353,34.76240897207517,1036.7847217630172,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.261,27.4238,45820.794134081254,1325.4825382065,1262.5552585,6
366,366,68812.7109,0.7,0.7,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,48.47947668570761,29.551676987462976,28.649983040534842,797.82508746347,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4961625104115765,12.6795,15.8438,29120.99087627566,497.230394969,1067.347216,4
367,367,-101445.193,0.8,1.0,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,87.57542060890665,69.84469208359526,35.45284196104404,1072.5787279740152,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03326344322860188,15.8976,19.2692,71959.32293641116,1453.735210374,1640.6806306,10
