n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
498,498.0,1.0,0.0,1.0,1.0,2.0,1.0,0.9,0.9,0.8,1.0,60.0,-121.47520533853857,8.610257067672498,332.2668653469561,174.0035386193464,10.0
499,499.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,25.0,-302.2803388519808,2.336191878650031,392.44607260772887,17.365478617006474,8.0
500,500.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,50.0,-190.81316008986056,9.194281154186596,392.44607260772887,144.36551259850717,6.0
501,501.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.9,1.0,40.0,-147.0417317511275,9.194281154186596,296.3300580861832,110.4634584174797,2.0
502,502.0,1.0,0.0,1.0,1.0,2.0,2.0,0.8,0.8,0.8,1.0,20.0,-228.5687963033405,5.063408075481224,313.9568580861832,36.06999114292717,2.0
503,503.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.9,1.0,60.0,-73.26150710875605,11.557899957417797,339.62505082541026,236.76151449874334,6.0
504,504.0,1.0,0.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,1.0,25.0,-290.9545110317286,2.336191878650031,374.13606534695606,20.78263494588021,10.0
505,505.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9,0.9,50.0,-94.75320545183892,11.53015096905002,332.95007260772894,190.53539864574537,4.0
506,506.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.9,1.0,30.0,-241.75321668035994,6.6084749817854815,371.51147260772893,70.83116997457613,4.0
507,507.0,1.0,0.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,1.0,30.0,-290.6859158870157,3.304230922637724,399.7400653469561,35.36239258245653,10.0
508,508.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,1.0,1.0,50.0,-145.34741333367566,9.744629023205515,363.12005082541026,171.01666989095796,6.0
509,509.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,30.0,-200.26825790139262,6.6084749817854815,316.5814508254103,70.83116997457613,4.0
510,510.0,1.0,0.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,0.9,45.0,-139.07968599332304,9.744629023205515,332.2668653469561,160.9746692718658,6.0
511,511.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,0.8,0.9,45.0,-125.38737845766015,8.610257067672498,297.9900653469561,146.95894838475627,8.0
512,512.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,45.0,-177.98698808354345,6.6084749817854815,316.30007260772896,105.007373744685,10.0
513,513.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.9,45.0,-151.70789983551037,11.365603480421356,349.6000726077289,154.74609585797214,2.0
514,514.0,1.0,0.0,1.0,1.0,3.0,2.0,0.8,0.8,0.8,0.9,35.0,-151.38629125067683,7.31875125910715,279.68005808618324,94.65966390927699,6.0
515,515.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,0.9,25.0,-242.48643403245805,5.859528792858796,350.57687260772894,53.77915965865228,4.0
516,516.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.9,0.9,50.0,-142.96314167325713,9.744629023205515,371.51147260772893,160.9746692718658,6.0
517,517.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.9,0.9,25.0,-267.87536480089125,4.204950471585056,371.51147260772893,37.333733540408176,6.0
518,518.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,60.0,-83.31206760321483,9.744629023205515,316.5814508254103,218.08111235764883,10.0
519,519.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,1.0,60.0,-52.74763320386893,11.557899957417797,314.6400653469561,236.76151449874334,6.0
520,520.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,0.9,55.0,-54.47001291819951,11.58296780105606,329.6422726077289,162.67717400872849,2.0
521,521.0,1.0,0.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,0.9,50.0,-81.688315792516,11.53015096905002,332.2668653469561,160.14028025011424,2.0
522,522.0,1.0,0.0,1.0,1.0,3.0,2.0,0.7,0.7,0.8,1.0,30.0,-143.74846245564737,7.982795416418341,261.3700508254103,83.14335826197306,2.0
523,523.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.8,1.0,35.0,-169.19888862761215,7.31875125910715,295.6468508254103,100.17015135618627,6.0
524,524.0,1.0,0.0,1.0,1.0,2.0,1.0,0.7,0.7,0.7,1.0,20.0,-213.7380689591554,2.336191878650031,274.71225082541025,12.749277940165928,4.0
525,525.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,25.0,-284.6059586866915,2.336191878650031,371.0600726077289,17.365478617006474,8.0
526,526.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,1.0,1.0,50.0,-94.52752545844419,11.53015096905002,337.5160508254102,174.55640934505684,2.0
527,527.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,0.9,50.0,-68.97713831064338,11.53015096905002,292.63505082541025,190.53539864574537,4.0
528,528.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,1.0,60.0,-68.5659255849778,11.53015096905002,334.89145808618326,174.55640934505684,2.0
529,529.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,1.0,45.0,-167.41972670746645,7.31875125910715,329.6422726077289,130.21366928091533,10.0
530,530.0,1.0,0.0,1.0,1.0,3.0,2.0,0.7,0.7,1.0,0.9,60.0,-35.63617947053218,11.60563302293498,294.67005082541027,224.7220789817271,6.0
531,531.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,35.0,-259.0533193395715,4.204950471585056,371.51147260772893,43.8426076127727,8.0
532,532.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.9,45.0,-136.15046262448945,10.751127173934911,349.6000726077289,166.05757762135525,4.0
533,533.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,0.9,50.0,-136.8782344827056,11.53015096905002,363.12005082541026,160.14028025011424,2.0
534,534.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,45.0,-224.59813119057736,7.982795416418341,394.5550726077289,117.46386130759498,6.0
535,535.0,1.0,0.0,1.0,1.0,1.0,2.0,0.9,0.9,0.9,0.9,20.0,-276.9196619095254,5.063408075481224,376.2450653469561,33.3267015581209,2.0
536,536.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,0.8,1.0,60.0,-28.534742338716264,11.557899957417797,297.9900653469561,206.36639610311215,4.0
537,537.0,1.0,0.0,1.0,1.0,1.0,2.0,0.8,0.8,1.0,1.0,20.0,-284.33177150995203,5.063408075481224,381.43005808618324,36.06999114292717,2.0
538,538.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,1.0,60.0,-119.5594255634522,9.744629023205515,350.57687260772894,194.54889112430337,8.0
