,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
142,142.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,50.0,-1344.2228034631598,130.58794234320223,3869.7015405446637,2727.3622661534205,4.0
143,143.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.8,0.9,50.0,-1063.555554626142,70.85427533892505,2654.5755405446635,1667.5929991855721,8.0
144,144.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,0.9,50.0,-576.9350281395681,130.58794234320223,3317.199600605181,1944.7167332558456,2.0
145,145.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.9,1.0,60.0,-961.4295751899452,122.98836071631062,3478.514160605181,4031.7880686951094,8.0
146,146.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.9,0.9,50.0,-1696.435976578209,58.508503492874055,3466.655480484145,1497.7640769006005,10.0
147,147.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.8,0.9,40.0,-1008.4139890664117,130.58794234320223,2946.471200484145,1944.7167332558456,2.0
148,148.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.7,1.0,50.0,-1288.7486291201485,58.508503492874055,2742.746360484145,1534.7018999171742,10.0
149,149.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,0.9,50.0,-719.7211666653702,130.58794234320223,3150.196040484145,1944.7167332558456,2.0
150,150.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,1.0,1.0,40.0,-1638.4064934254845,41.50495899604326,2948.011540544663,1005.6107053696289,10.0
151,151.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,0.9,30.0,-1772.4488684908906,75.11727595467387,3518.0799405446633,814.2825070039069,2.0
152,152.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.9,0.9,50.0,-729.0044865830763,130.58794234320223,2801.2935405446633,2727.3622661534205,4.0
153,153.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,1.0,50.0,-543.0320235229891,130.58794234320223,2326.257420423627,2856.4812884154503,4.0
154,154.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.8,0.9,60.0,-225.9118471373341,130.58794234320223,2782.312140423627,1944.7167332558456,2.0
155,155.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,0.9,50.0,-792.5267671806264,68.90193226572049,2179.539420423627,1893.561086379984,10.0
156,156.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,0.9,60.0,-193.98343300748385,130.58794234320223,3063.6094204236274,1944.7167332558456,2.0
157,157.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,1.0,1.0,40.0,-963.0706649086655,113.81991637288002,2783.8524804841454,2304.311091897589,4.0
158,158.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,0.7,0.9,40.0,-1120.2068827120738,77.404691278589,2742.746360484145,1558.1381383897024,6.0
159,159.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.8,1.0,40.0,-561.3421846809184,130.58794234320223,2490.4164804841457,2073.835755517876,2.0
160,160.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,1.0,1.0,60.0,-489.87068498410525,130.58794234320223,2948.011540544663,2856.4812884154503,4.0
161,161.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.9,0.9,50.0,-521.4507043731621,130.58794234320223,2801.2935405446633,1944.7167332558456,2.0
162,162.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,60.0,-784.9242183311142,130.58794234320223,3556.0866006051815,2856.4812884154503,4.0
163,163.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,1.0,0.9,30.0,-1750.5450537217953,41.50495899604326,2948.011540544663,828.8116260759891,8.0
164,164.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,0.9,60.0,-779.7595501890405,130.58794234320223,3150.196040484145,3510.0077990509953,6.0
165,165.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,0.9,40.0,-1666.0293248221367,52.38197966632623,3274.7893206051813,1296.4470010963419,10.0
166,166.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,30.0,-1974.4478550691413,52.38197966632623,3630.8145405446635,691.5005521402959,4.0
167,167.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,40.0,-1584.7745266244858,84.26963300998734,3556.0866006051815,1380.2978353122498,4.0
168,168.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,1.0,60.0,-306.0614693865441,130.58794234320223,2948.011540544663,2856.4812884154503,4.0
169,169.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.7,1.0,30.0,-1702.6998902540588,41.50495899604326,2906.9054205446632,1005.6107053696289,10.0
170,170.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,1.0,60.0,-1087.1514891808256,87.3084364982703,3317.199600605181,2804.407602699597,10.0
171,171.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,1.0,40.0,-912.0498516849518,130.58794234320223,3153.0405405446627,2073.835755517876,2.0
172,172.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,0.9,40.0,-1229.8082484697482,63.93268598001005,2672.0166006051813,1167.9792324953817,6.0
173,173.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,1.0,50.0,-1318.2247088423253,68.90193226572049,3071.064480605181,1645.1552771195327,8.0
174,174.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,30.0,-2175.937289430841,41.50495899604326,3682.2390006051814,853.1346878562751,8.0
175,175.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,0.9,40.0,-1663.6372460546172,52.38197966632623,3150.196040484145,1094.79818477766,8.0
