n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
77,77.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,0.8,0.9,45.0,201.49137499253084,190.19516550018875,1106.4252275745146,2355.6739842050215,4.0
78,78.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,35.0,-324.69895428273446,190.19516550018875,1006.2551152809101,3270.0569296104945,6.0
79,79.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.8,0.9,30.0,-691.0197716173168,190.19516550018875,1315.7875475745145,3194.7843448399126,6.0
80,80.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.9,1.0,55.0,216.22475295666464,190.19516550018875,1300.102291021329,2430.9465689756044,4.0
81,81.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.9,0.9,1.0,55.0,102.32994578393709,190.19516550018875,1239.607291021329,4109.167290245384,8.0
82,82.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.7,0.9,55.0,200.29659087282639,190.19516550018875,1029.1860841277005,3194.7843448399126,6.0
83,83.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.9,0.7,1.0,55.0,267.1860908790779,190.19516550018875,909.000540696637,4109.167290245384,8.0
84,84.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.7,1.0,0.9,20.0,-682.6135971892332,118.92485339664279,889.81719528091,1466.7775236246512,4.0
85,85.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.8,0.9,40.0,48.697458048674015,190.19516550018875,1018.9184922247282,2355.6739842050215,4.0
86,86.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,1.0,1.0,60.0,330.22919931136414,190.19516550018875,1400.478394468143,2430.9465689756044,4.0
87,87.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,0.7,0.9,25.0,-893.94579814345,56.00568523776178,964.1390041277003,1042.2870289236741,6.0
88,88.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.7,0.9,60.0,294.1009086191939,190.19516550018875,885.863580696637,4873.005066109692,10.0
89,89.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.7,0.9,0.9,50.0,-53.93629884171362,190.19516550018875,849.6866837528191,4873.005066109692,10.0
90,90.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,55.0,351.8074798145543,190.19516550018875,1452.260434468143,2355.6739842050215,4.0
91,91.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.8,1.0,50.0,-146.63736900818552,190.19516550018875,925.372092224728,4109.167290245384,8.0
92,92.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.8,1.0,0.9,35.0,-742.6267858997165,115.83106538288276,885.2651152809101,2477.6916445099628,8.0
