,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
143,143,41207.0909,0.9,0.8,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,46.54166804814337,26.673879694300954,27.52049725192935,730.5991183712081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41869848443339497,10.6216,13.7899,26596.235874427053,395.9476221644,895.9640506,8
144,144,3475.3368,1.0,0.7,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,49.830486663277945,32.8841771187287,29.934465081009115,771.551325384966,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2338368179009319,13.0825,13.8127,35453.480062350354,526.9639503131,912.8808355,2
145,145,60822.5305,1.0,0.9,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,79.39631511843673,60.9110110263724,35.43759385484591,1020.7471470580396,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.34306115337892634,13.3197,17.3173,63653.307939352184,1164.031963476,1376.961046,8
146,146,-41884.377,0.8,0.9,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,73.41830114482511,57.26328799246443,25.77743426898366,666.5873886280701,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.08768026909859558,11.3936,19.677,53426.39805381143,1089.1732542528,1434.2339356,10
147,147,-320646.3679,0.8,0.8,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,70.75680610631319,53.59206117356982,35.82025852543596,1200.6790652617847,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.6658,23.9893,52873.49426869106,1350.7798628589,1160.3416478,2
148,148,34575.9518,0.8,0.7,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,46.523007678979894,26.430053634540204,27.405440926581242,650.3504555392469,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35461437708287025,9.314,15.5802,23930.769540391695,402.547291459,1055.1077811,10
149,149,-17091.2026,0.8,0.9,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,54.31981007396574,37.11533492990196,32.56240845453194,969.1588227097935,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15862897152041586,12.2112,14.9718,39354.91336063751,634.8313239452,945.6381161,2
150,150,-265508.6377,0.9,1.0,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,72.2050452708998,55.400291443301256,33.90514434746152,1026.538458395573,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.1162,24.8245,46107.42155539688,1207.3393181866,1473.6727588,10
151,151,-102337.8102,0.9,1.0,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,49.294198753732914,30.72093897674263,28.167521303356956,871.5110850574638,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.6441,15.4004,27401.763548479532,453.3035700276,908.094644,2
152,152,5551.3647,0.9,0.9,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,57.7482935580213,36.543556244553436,34.02211447853508,965.4588390651971,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.24255621352142787,11.4136,13.9507,39113.34397217505,588.4595774085,949.2009416,4
