n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
147,147.0,1.0,1.0,2.0,2.0,0.9,3.0,2.0,1.0,1.0,0.8,55.0,-380.89154004857943,11.036907577547803,642.7261312644187,351.70022752718376
148,148.0,1.0,1.0,2.0,2.0,0.7,3.0,1.0,1.0,0.7,1.0,45.0,-410.5684492414055,14.41242483950786,718.3051640805235,358.9563680282018
149,149.0,1.0,1.0,2.0,2.0,0.2,3.0,2.0,0.8,0.9,0.9,45.0,-294.684185005528,23.078289705525684,612.4336476724711,413.3761462330045
150,150.0,1.0,1.0,2.0,2.0,0.6,1.0,1.0,0.9,0.7,1.0,55.0,-435.4428934127709,19.95577521581524,794.4181640805233,489.8206791722217
151,151.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,1.0,0.7,65.0,-337.7255358678748,18.312927771802244,681.0496148563664,690.5825281442044
152,152.0,1.0,1.0,2.0,2.0,0.4,1.0,2.0,0.7,0.8,1.0,55.0,-277.08021083683076,23.078289705525684,740.8241640805232,502.7751694802426
153,153.0,1.0,1.0,2.0,2.0,0.8,3.0,1.0,0.8,0.7,0.9,65.0,-305.4790153463144,20.369443467053202,612.4336476724711,605.903525287708
154,154.0,1.0,1.0,2.0,2.0,0.8,2.0,2.0,1.0,0.9,0.9,55.0,-357.58774646987507,23.078289705525684,744.1768476724711,778.7663528704486
155,155.0,1.0,1.0,2.0,2.0,0.1,1.0,1.0,0.9,0.8,0.8,55.0,-254.3177942092878,23.078289705525684,718.8391312644187,320.08006616152045
156,156.0,1.0,1.0,2.0,2.0,0.1,1.0,1.0,1.0,1.0,1.0,45.0,-447.4792061922378,23.078289705525684,821.2151640805233,384.8754907586737
157,157.0,1.0,1.0,2.0,2.0,0.7,2.0,1.0,0.7,0.9,1.0,65.0,-369.03676253768,20.369443467053202,713.3500040805234,609.9882338134508
