n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
97,97.0,1.0,1.0,2.0,0.2,3.0,2.0,0.9,0.9,1.0,0.8,55.0,-234.41628067064715,130.58794234320223,2948.011540544663,1864.4246903175942
98,98.0,1.0,1.0,2.0,0.8,3.0,1.0,0.8,0.8,1.0,0.9,55.0,-967.844006569681,77.404691278589,2783.8524804841454,1863.1411678183256
99,99.0,1.0,1.0,2.0,0.6,1.0,1.0,1.0,1.0,1.0,0.7,55.0,-1635.3794091341629,90.2139868922699,4033.8606006051814,1839.7432269498067
100,100.0,1.0,1.0,2.0,0.3,2.0,1.0,0.9,0.9,0.9,0.8,55.0,-693.0443894524342,130.58794234320223,3314.3551005446634,2280.160946428271
101,101.0,1.0,1.0,2.0,0.1,1.0,1.0,1.0,1.0,0.7,0.9,55.0,-692.295857416495,130.58794234320223,3317.199600605181,1577.807456468948
102,102.0,1.0,1.0,2.0,0.5,2.0,2.0,0.7,0.7,0.7,0.8,65.0,-43.67803684696893,130.58794234320223,2578.5873004236273,3111.6334586496246
103,103.0,1.0,1.0,2.0,0.7,1.0,1.0,1.0,1.0,0.9,0.7,45.0,-1735.0011623857943,74.54606869299404,3794.973600605181,1488.8729725612784
104,104.0,1.0,1.0,2.0,0.4,2.0,2.0,0.8,0.8,1.0,0.8,55.0,-865.3765814843812,130.58794234320223,3353.920880484145,2695.897202538948
105,105.0,1.0,1.0,2.0,0.8,1.0,2.0,0.9,0.9,1.0,0.8,65.0,-1257.5413930630107,104.23114909645169,3869.7015405446637,3004.4005918978564
106,106.0,1.0,1.0,2.0,0.8,1.0,2.0,0.8,0.8,0.8,1.0,55.0,-1274.437781557929,77.404691278589,3227.768480484145,1918.849174159744
107,107.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,0.8,0.9,0.7,55.0,-1096.4996283901933,77.404691278589,3150.196040484145,2092.1674328218774
108,108.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.7,1.0,55.0,-757.9943596652167,130.58794234320223,3317.199600605181,3369.8715031736847
109,109.0,1.0,1.0,2.0,0.2,1.0,1.0,0.8,0.8,0.9,1.0,55.0,-749.9419906587682,130.58794234320223,3466.655480484145,2122.6627348416546
110,110.0,1.0,1.0,2.0,0.9,3.0,2.0,0.7,0.7,0.7,0.9,55.0,-731.5455578668532,74.54606869299404,2179.539420423627,1914.2652504359296
111,111.0,1.0,1.0,2.0,0.9,2.0,1.0,0.7,0.7,0.7,0.9,55.0,-1117.9162856374144,63.93268598001005,2578.5873004236273,1518.8140053338082
112,112.0,1.0,1.0,2.0,0.6,2.0,2.0,0.8,0.8,0.9,0.9,55.0,-779.3486146168405,130.29885231276955,3150.196040484145,3643.27524869364
113,113.0,1.0,1.0,2.0,0.7,3.0,1.0,1.0,1.0,0.9,0.8,55.0,-1125.2993463445966,77.404691278589,2965.452600605181,1637.2120226337122
114,114.0,1.0,1.0,2.0,0.9,2.0,2.0,0.7,0.7,0.8,0.9,55.0,-1084.9567996376775,74.54606869299404,2782.312140423627,1914.2652504359296
115,115.0,1.0,1.0,2.0,0.9,2.0,2.0,1.0,1.0,0.9,0.7,45.0,-1513.0165171038511,70.85427533892505,3478.514160605181,1674.544474373808
116,116.0,1.0,1.0,2.0,0.3,2.0,1.0,0.9,0.9,0.7,1.0,55.0,-743.1906224322845,130.58794234320223,2906.9054205446632,2538.398990952331
117,117.0,1.0,1.0,2.0,0.5,3.0,1.0,0.9,0.9,0.8,0.9,55.0,-588.885929749643,127.66028995263277,2654.5755405446635,3122.738720336279
118,118.0,1.0,1.0,2.0,0.4,3.0,2.0,0.8,0.8,1.0,0.7,65.0,-16.44024315514865,130.58794234320223,2783.8524804841454,2566.7781802769177
119,119.0,1.0,1.0,2.0,0.7,2.0,1.0,0.9,0.9,0.7,0.8,45.0,-1387.2466913766782,63.20979733698361,2906.9054205446632,1202.4419914078144
120,120.0,1.0,1.0,2.0,0.7,2.0,1.0,1.0,1.0,0.7,0.7,55.0,-948.4913885611619,97.69713597956785,3071.064480605181,2360.0461621054596
