n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
110,110.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.3,0.8,0.7,0.9,55.0,115.03187046007413,107.28334889774962,440.10558069663705,1268.1407256004507
111,111.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.6,0.9,0.7,1.0,45.0,-190.20529032343356,104.90280256184363,460.0045806966371,2172.0461058696133
112,112.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.4,1.0,0.7,0.9,55.0,273.81123239793095,107.28334889774962,479.9035806966371,1578.070097356041
113,113.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.8,0.7,0.7,0.9,45.0,-325.9665506621212,73.24511955402635,420.20658069663705,1833.238145317546
114,114.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.3,0.8,1.0,0.7,65.0,220.66756444596552,107.28334889774962,560.4971152809101,1192.9512566374106
115,115.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.9,0.8,1.0,0.7,45.0,-426.7148271275642,78.23144437675305,622.27983528091,2128.006255114236
116,116.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.7,0.9,0.8,1.0,65.0,4.428930699163379,107.28334889774962,569.6406522247281,2545.452947104331
117,117.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.6,0.9,1.0,1.0,55.0,-247.54941941802423,107.28334889774962,649.90167528091,2235.5235753487414
118,118.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.6,0.7,1.0,0.7,55.0,-184.0528974299318,107.28334889774962,594.65799528091,2122.739371904181
119,119.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,0.9,0.9,45.0,-237.21377144405741,107.28334889774962,685.0246037528191,2817.7875843784013
120,120.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.1,0.9,0.9,0.7,55.0,209.8282330805483,107.28334889774962,540.2656037528191,573.0925131262303
121,121.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.4,0.9,0.9,0.9,55.0,374.5078364676865,107.28334889774962,540.2656037528191,1578.070097356041
122,122.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.4,0.9,0.7,0.7,55.0,76.13726775460755,107.28334889774962,572.3785806966371,1502.880628393001
123,123.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.2,0.9,0.7,1.0,55.0,164.68199401345194,107.28334889774962,460.0045806966371,995.8060883263804
124,124.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.9,1.0,0.8,1.0,65.0,-214.257348724181,103.27775006678681,520.034092224728,3016.3824582334278
125,125.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.8,0.8,0.9,0.7,55.0,-179.28062456706382,106.10900631115182,520.3666037528191,2703.44596047932
126,126.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.2,0.8,0.9,0.9,55.0,69.72033988741313,107.28334889774962,620.254603752819,958.2113538448607
127,127.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.8,0.8,1.0,0.9,55.0,11.495409320423938,107.28334889774962,660.3851152809101,2817.7875843784013
128,128.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.2,0.7,1.0,1.0,65.0,700.2435193703121,107.28334889774962,594.65799528091,995.8060883263804
129,129.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.4,0.7,0.9,0.7,45.0,-180.7460033190203,107.28334889774962,554.5274837528191,1502.880628393001
130,130.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.8,0.8,0.7,1.0,45.0,-399.19531965220193,51.036069720851245,501.88830069663703,1289.5151602822189
131,131.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.1,0.8,0.7,0.7,65.0,541.235633112359,107.28334889774962,440.10558069663705,573.0925131262303
132,132.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.4,0.9,0.8,1.0,55.0,52.86749446683785,107.28334889774962,569.6406522247281,1615.664831837561
133,133.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.9,0.9,1.0,0.8,55.0,-362.80097469203633,100.66422021179234,649.90167528091,2856.3613578374493
134,134.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.7,1.0,0.7,55.0,-238.7118597110679,104.90280256184363,628.00011528091,3266.45599921665
135,135.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.8,0.8,45.0,-331.14935304236536,99.32283731356898,597.2624922247281,3094.6617199486377
136,136.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.2,0.8,0.7,0.9,55.0,121.1063137603248,107.28334889774962,539.9935806966371,958.2113538448607
137,137.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.8,1.0,0.8,0.9,45.0,-493.83987487548643,73.24511955402635,644.8940922247282,1833.238145317546
138,138.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.9,1.0,0.7,0.8,65.0,-253.33744515321825,104.08422941240883,604.7635806966371,2972.801773448226
139,139.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.9,1.0,0.9,0.7,65.0,199.4610207965252,107.28334889774962,637.393003752819,3052.527487170952
140,140.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.2,1.0,0.8,0.8,55.0,456.47196837164506,107.28334889774962,644.8940922247282,920.6166193633405
141,141.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.4,0.7,0.9,1.0,45.0,-207.28996419477338,107.28334889774962,554.5274837528191,1615.664831837561
142,142.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.1,0.8,0.7,0.9,55.0,611.7627967585075,107.28334889774962,501.88830069663703,648.2819820892704
143,143.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.2,1.0,1.0,1.0,55.0,125.75221736282818,107.28334889774962,677.52351528091,995.8060883263804
