n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
2474,2474.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.9,1.0,50.0,-334.4992088441761,23.078289705525684,821.2151640805233,405.69329469753785,2.0
2475,2475.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,1.0,0.9,45.0,-379.58220251530713,23.078289705525684,703.0346476724711,438.0910069961145,2.0
2476,2476.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,0.9,1.0,60.0,-370.03483709144115,23.078289705525684,759.0942440805235,519.8071787078861,4.0
2477,2477.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.8,1.0,0.7,30.0,-378.8091900947118,4.435883168136524,536.8546148563664,156.1198730509215,10.0
2478,2478.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.8,1.0,0.8,30.0,-364.1507773268974,4.435883168136524,574.6441312644188,78.48722029354303,2.0
2479,2479.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,1.0,0.9,40.0,-451.0593015448964,16.098655575530614,756.6286476724712,284.1553270835871,2.0
2480,2480.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.7,0.9,0.8,40.0,-397.02231781905056,9.617224844721495,637.7709712644187,235.98188941621245,6.0
2481,2481.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.8,0.9,1.0,45.0,-400.4578453193352,11.036907577547803,650.2231640805235,271.9608603773859,6.0
2482,2482.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.8,0.9,0.8,40.0,-446.2282029893169,4.435883168136524,660.6430912644187,150.21196734050164,10.0
2483,2483.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.7,0.9,0.7,20.0,-432.0349509914934,4.435883168136524,599.9814548563663,130.80380415115704,8.0
2484,2484.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.9,25.0,-439.46154893903025,4.435883168136524,680.515647672471,78.48722029354303,2.0
2485,2485.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.7,60.0,-240.03583497395584,23.078289705525684,668.5978148563663,438.0910069961145,2.0
2486,2486.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.7,0.9,0.8,25.0,-367.3859602665347,4.435883168136524,540.6031312644187,91.98747777246781,4.0
2487,2487.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.8,50.0,-401.7655388407097,18.312927771802244,706.3873312644187,501.8948473821145,6.0
2488,2488.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,1.0,0.8,50.0,-438.3309427764816,12.39118903747125,718.8391312644187,323.1567927097424,6.0
2489,2489.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.9,0.9,0.9,30.0,-415.8374396629283,4.435883168136524,646.4746476724711,91.98747777246781,4.0
2490,2490.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.9,1.0,0.8,30.0,-449.8386245075791,4.435883168136524,683.5152112644187,117.30354667223224,6.0
2491,2491.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.8,1.0,1.0,25.0,-484.2526134909523,4.435883168136524,736.2221240805234,97.89538348288765,4.0
2492,2492.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,1.0,0.8,60.0,-331.85064296188807,23.078289705525684,692.0421312644187,894.5465430375071,10.0
2493,2493.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,0.9,0.9,60.0,-388.3087375037577,16.098655575530614,680.515647672471,558.276653001494,10.0
2494,2494.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.9,0.8,35.0,-413.1932597178077,4.435883168136524,642.7261312644187,91.98747777246781,4.0
2495,2495.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.9,0.9,25.0,-477.43500822165953,4.435883168136524,680.515647672471,150.21196734050164,10.0
2496,2496.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.8,1.0,0.9,50.0,-455.53879706826217,4.435883168136524,698.432607672471,156.1198730509215,10.0
2497,2497.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.7,0.9,1.0,55.0,-431.0729994303727,12.39118903747125,713.3500040805234,362.4684883589042,8.0
2498,2498.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,1.0,1.0,60.0,-395.5675519977725,23.078289705525684,759.0942440805235,666.3187750168108,6.0
2499,2499.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.9,0.9,0.7,40.0,-389.6676816047898,4.435883168136524,570.8956148563664,150.21196734050164,10.0
2500,2500.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,1.0,0.9,50.0,-444.7364302862825,4.971077571091431,703.0346476724711,152.35449141120304,8.0
2501,2501.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.8,1.0,0.8,40.0,-414.1287296530456,4.971077571091431,660.6430912644187,130.61760539633434,6.0
2502,2502.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.7,50.0,-406.6780617449112,15.319057170482901,707.8466148563664,547.4306891452019,10.0
2503,2503.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,0.9,1.0,50.0,-467.9867510472815,4.435883168136524,740.8241640805232,130.80380415115704,8.0
2504,2504.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.7,0.9,0.8,25.0,-436.9116062035397,4.435883168136524,637.7709712644187,111.39564096181242,6.0
2505,2505.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.9,0.8,25.0,-494.03051998955345,4.435883168136524,745.6361312644187,130.80380415115704,8.0
2506,2506.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.8,1.0,1.0,20.0,-547.0459563988297,4.435883168136524,767.6211640805233,156.1198730509215,10.0
2507,2507.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,0.9,0.9,50.0,-361.2312039804736,23.078289705525684,729.8316476724711,633.9210627182342,6.0
2508,2508.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.8,0.9,0.7,60.0,-163.43172338933326,23.078289705525684,536.8546148563664,633.9210627182342,6.0
2509,2509.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,0.9,0.7,20.0,-438.9173993848556,4.435883168136524,627.4556148563663,111.39564096181242,6.0
2510,2510.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,50.0,-438.52402963451937,21.34758413565328,783.425647672471,471.7211591740521,4.0
2511,2511.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,0.9,0.9,50.0,-485.73649001321246,4.435883168136524,756.6286476724712,150.21196734050164,10.0
2512,2512.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,1.0,0.8,55.0,-409.472127677397,11.036907577547803,665.2451312644187,334.63593136259385,8.0
2513,2513.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,0.7,40.0,-455.6836560778776,4.435883168136524,707.8466148563664,111.39564096181242,6.0
2514,2514.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.9,0.9,0.9,60.0,-395.2617324534778,19.359945033123836,721.304727672471,694.0118876741267,10.0
2515,2515.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.7,1.0,0.8,45.0,-431.24667921561957,4.435883168136524,665.2451312644187,156.1198730509215,10.0
2516,2516.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,1.0,0.9,25.0,-492.64342150669916,4.435883168136524,756.6286476724712,78.48722029354303,2.0
2517,2517.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.7,40.0,-468.89894279153714,4.435883168136524,707.8466148563664,156.1198730509215,10.0
2518,2518.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.8,0.9,0.8,45.0,-316.7375383067842,17.228584059626538,574.6441312644188,524.1210025154976,8.0
2519,2519.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.8,1.0,0.7,20.0,-396.9937357996284,4.435883168136524,536.8546148563664,136.71170986157688,8.0
2520,2520.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.9,0.9,50.0,-345.0069754012694,23.078289705525684,783.425647672471,519.8071787078861,4.0
2521,2521.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.7,1.0,1.0,20.0,-513.5879473322497,4.435883168136524,713.3500040805234,156.1198730509215,10.0
2522,2522.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.9,1.0,0.9,35.0,-484.46276484628305,4.435883168136524,721.304727672471,156.1198730509215,10.0
2523,2523.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.7,0.9,1.0,55.0,-375.6945292148376,21.34758413565328,713.3500040805234,678.7630148993577,8.0
2524,2524.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,1.0,0.8,45.0,-423.60498731315175,16.098655575530614,718.8391312644187,357.94480479731044,4.0
2525,2525.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.7,1.0,0.8,35.0,-341.26778980426207,4.435883168136524,540.6031312644187,117.30354667223224,6.0
2526,2526.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.7,1.0,0.7,25.0,-405.96059812262206,4.435883168136524,599.9814548563663,117.30354667223224,6.0
2527,2527.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,0.9,0.7,55.0,-361.85244898651626,18.312927771802244,645.7256948563663,477.4621501895063,6.0
2528,2528.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.7,0.9,0.8,60.0,-196.09347625044504,23.078289705525684,665.2451312644187,405.69329469753785,2.0
2529,2529.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.9,0.9,0.8,55.0,-413.15756007601436,12.39118903747125,683.5152112644187,417.5664690667011,10.0
