n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
121,121.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,35.0,-715.8580381291251,22.074667526002244,604.7635806966371,829.1203880110872,10.0
122,122.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,0.7,0.9,25.0,-561.1130163071805,22.074667526002244,507.60858069663703,525.5435267650787,6.0
123,123.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.9,45.0,-530.1590035238066,98.85987866875949,677.52351528091,2468.373039537723,8.0
124,124.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,1.0,0.9,45.0,72.98452376462613,107.28334889774962,660.3851152809101,929.6467339315336,2.0
125,125.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.9,1.0,0.9,30.0,-732.3070014408597,22.074667526002244,692.7701152809101,677.3319573880829,8.0
126,126.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7,0.9,25.0,-671.0514460939612,22.074667526002244,604.7635806966371,525.5435267650787,6.0
127,127.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.9,0.9,1.0,60.0,437.56499766835657,107.28334889774962,609.7711637528191,967.2414684130537,2.0
128,128.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.8,1.0,1.0,45.0,-210.9673984245799,107.28334889774962,560.4971152809101,1558.5355920109073,4.0
129,129.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.8,0.8,1.0,45.0,319.99955919205644,107.28334889774962,480.2360922247281,967.2414684130537,2.0
130,130.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.7,0.8,1.0,25.0,-424.91942066659243,22.074667526002244,460.33709222472805,381.5526777971929,4.0
131,131.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.7,0.9,35.0,-273.4864161176802,107.28334889774962,557.1319806966371,1520.9408575293871,4.0
132,132.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.9,0.9,1.0,60.0,-19.09728298622523,107.28334889774962,652.6396037528191,1558.5355920109073,4.0
133,133.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.8,1.0,0.9,30.0,-437.64247639759986,103.27775006678681,622.27983528091,1454.8515867317396,4.0
134,134.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.9,1.0,35.0,-653.2287052073312,22.074667526002244,637.393003752819,685.1295390432012,8.0
135,135.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.9,0.9,60.0,297.2785097635971,107.28334889774962,620.254603752819,1520.9408575293871,4.0
