n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
33,33,48810.319,1.0,0.93,0.9,35,0.97,61.2911860145,422757.6767652
34,34,172904.7708,0.94,0.95,0.6,40,0.95,59.570225058,422747.8574827
35,35,-56919.2309,0.98,0.94,0.8,30,0.94,60.8035706299,422744.2126496
36,36,-47554.3618,0.95,0.93,0.6,30,0.95,59.4268605463,422747.8574827
37,37,492705.3146,0.93,0.92,0.2,55,0.98,58.4230155563,422759.5147293
38,38,387695.3951,0.94,0.95,0.5,50,0.92,59.570225058,422734.3933671
39,39,56899.433,0.98,0.92,0.3,35,0.96,60.2873410245,422751.1409419
40,40,593570.8842,0.91,0.99,1,60,0.97,59.4840889878,422758.0381389
41,41,575820.3142,1.0,0.97,0.6,60,0.93,62.3236452253,422739.1223215
42,42,586612.1949,0.98,0.91,0.4,60,0.96,60.0292262218,422751.5023157
43,43,184414.1922,0.91,0.94,1,40,0.93,58.1935149744,422740.5678166
44,44,566997.6148,1.0,0.99,1,60,1.0,62.8398748306,422771.1408807
45,45,150790.2292,0.99,0.99,0.1,40,0.98,62.467009737,422759.1533556
46,46,289016.5631,0.91,0.96,0.3,45,0.92,58.7097445798,422733.6706196
47,47,178737.6927,0.91,0.96,0.6,40,0.96,58.7097445798,422752.2250632
48,48,159022.8341,0.99,0.93,0.2,40,0.98,60.9183209209,422759.5147293
49,49,486272.9483,0.94,0.94,1,55,0.99,59.3121102553,422766.7733001
50,50,262912.4819,0.98,0.97,0.6,45,0.98,61.577915038,422760.9602244
51,51,50846.247,0.97,0.99,0.8,35,0.95,61.7212795497,422748.5802302
52,52,367577.4641,0.98,0.96,0.8,50,1.0,61.3198002353,422770.4181332
53,53,-58483.2606,0.96,0.96,1,30,0.98,60.574070048,422762.4057195
54,54,485887.8796,0.98,0.91,0.2,55,0.92,60.0292262218,422733.3092458
55,55,283157.0387,0.92,0.96,0.9,45,0.95,59.0826096734,422748.941604
56,56,391380.927,0.92,0.91,0.3,50,0.99,57.79203566,422764.2436837
57,57,48205.767,0.99,0.94,0.7,35,0.99,61.1764357235,422765.6891788
58,58,54087.6424,0.99,0.92,0.5,35,0.96,60.6602061182,422751.8636895
59,59,392733.748,0.93,0.91,0.3,50,0.95,58.1649007536,422746.7733613
60,60,257973.6372,0.98,1.0,0.4,45,0.99,62.352259446,422764.6050575
61,61,174233.6231,0.91,0.97,0.8,40,0.99,58.9678593825,422766.0505526
62,62,-57525.3857,0.95,0.99,0.2,30,0.96,60.9755493624,422750.7795681
63,63,70469.3412,0.94,0.93,0.6,35,0.92,59.0539954526,422734.7547409
64,64,585655.9362,1.0,0.91,0.2,60,0.91,60.7749564091,422728.9416652
65,65,42894.0501,0.99,1.0,1,35,0.96,62.7251245397,422753.6705583
66,66,368523.4074,0.97,0.98,1,50,0.99,61.463164747,422766.7733001
67,67,482018.7394,0.95,0.96,0.3,55,0.98,60.2012049544,422759.8761031
68,68,-43193.5326,0.93,0.96,1,30,0.92,59.4554747671,422736.200236
69,69,-53572.1798,0.97,0.96,0.5,30,0.91,60.9469351416,422730.0257865
70,70,594538.8734,0.91,0.97,0.9,60,0.99,58.9678593825,422766.4119263
71,71,155201.4455,0.98,0.97,0.3,40,0.99,61.577915038,422764.2436837
72,72,376333.3365,0.95,1.0,0.6,50,0.94,61.2336641651,422743.4899021
73,73,162221.5214,0.98,0.94,0.8,40,0.96,60.8035706299,422752.9478108
74,74,49760.9646,0.99,0.98,0.9,35,0.92,62.2088949343,422735.8388622
75,75,603480.4628,0.92,0.93,0.1,60,0.92,58.3082652654,422732.947872
76,76,483103.9653,0.98,0.93,0.6,55,0.92,60.5454558272,422734.7547409
77,77,386243.0659,0.94,0.96,0.9,50,0.92,59.8283398607,422735.8388622
78,78,294373.0897,0.91,0.92,0.2,45,0.92,57.677285369,422733.3092458
79,79,47021.0578,0.98,0.97,0.1,35,0.99,61.577915038,422763.5209361
80,80,380399.2681,0.93,0.98,0.3,50,0.98,59.9717043724,422759.8761031
81,81,-46368.9957,0.96,0.91,0.4,30,0.94,59.2834960345,422742.7671545
82,82,-56892.6166,0.95,1.0,0.3,30,0.94,61.2336641651,422742.4057807
83,83,255536.2284,1.0,1.0,0.8,45,0.96,63.0979896333,422752.9478108
84,84,70964.7957,0.94,0.92,0.2,35,0.93,58.79588065,422737.6768264
