n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
142,142.0,1.0,1.0,1.0,1.0,0.6,2.0,2.0,0.9,1.0,1.0,40.0,-439.25184024645694,13.682790068623277,759.0942440805235,359.3542877479627
143,143.0,1.0,1.0,1.0,1.0,0.9,2.0,2.0,0.7,0.9,0.8,30.0,-418.92775623469333,4.435883168136524,637.7709712644187,135.36021827643194
144,144.0,1.0,1.0,1.0,1.0,0.2,3.0,2.0,1.0,0.9,0.9,60.0,-189.67994626578775,23.078289705525684,680.515647672471,413.3761462330045
145,145.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.7,0.9,0.9,60.0,-271.72185402728945,23.078289705525684,675.560487672471,596.0712495517265
146,146.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.9,0.8,30.0,-493.89571899165134,4.435883168136524,745.6361312644187,126.2280997339149
147,147.0,1.0,1.0,1.0,1.0,0.5,3.0,2.0,0.8,1.0,0.9,60.0,-201.61851178541272,23.078289705525684,612.4336476724711,628.468961850303
148,148.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.9,1.0,0.9,60.0,-297.0847076599487,23.078289705525684,756.6286476724712,506.6722263044884
149,149.0,1.0,1.0,1.0,1.0,0.5,3.0,1.0,0.7,1.0,1.0,60.0,-244.6531766615308,23.078289705525684,616.1821640805234,628.468961850303
150,150.0,1.0,1.0,1.0,1.0,0.2,3.0,2.0,0.8,1.0,0.7,30.0,-306.0579943221713,16.098655575530614,536.8546148563664,285.71199975200943
151,151.0,1.0,1.0,1.0,1.0,0.6,3.0,2.0,0.8,0.9,0.7,50.0,-230.35501702551704,23.078289705525684,536.8546148563664,656.9696173246339
152,152.0,1.0,1.0,1.0,1.0,0.2,2.0,2.0,0.9,1.0,0.8,50.0,-261.14738974434607,23.078289705525684,683.5152112644187,445.773858531581
153,153.0,1.0,1.0,1.0,1.0,0.3,1.0,2.0,1.0,1.0,0.7,40.0,-360.6083688817329,23.078289705525684,707.8466148563664,506.6722263044884
154,154.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.8,0.9,0.7,50.0,-309.35663101137095,23.078289705525684,654.2526148563663,535.1728817788191
155,155.0,1.0,1.0,1.0,1.0,0.4,2.0,2.0,0.8,1.0,0.8,50.0,-281.26727617532356,23.078289705525684,660.6430912644187,567.5705940773958
156,156.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,0.7,1.0,1.0,50.0,-381.1950103800503,20.369443467053202,740.8241640805232,637.7526335305662
157,157.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,0.8,0.9,1.0,40.0,-403.4452374710657,23.078289705525684,767.6211640805233,535.1728817788191
158,158.0,1.0,1.0,1.0,1.0,0.2,1.0,2.0,0.9,0.9,0.9,50.0,-296.12613781877684,23.078289705525684,756.6286476724712,413.3761462330045
159,159.0,1.0,1.0,1.0,1.0,0.1,2.0,2.0,0.9,1.0,0.9,30.0,-400.56728394520894,22.29896888868372,721.304727672471,368.54435855765735
160,160.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.9,1.0,0.8,50.0,-265.8470195833556,23.078289705525684,718.8391312644187,384.8754907586737
161,161.0,1.0,1.0,1.0,1.0,0.3,3.0,2.0,0.8,1.0,1.0,40.0,-323.841489932653,23.078289705525684,650.2231640805235,506.6722263044884
162,162.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.9,0.9,1.0,30.0,-486.96552555145473,4.435883168136524,759.0942440805235,98.83174410636377
163,163.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,1.0,0.9,0.8,40.0,-437.28063441470573,12.39118903747125,745.6361312644187,331.685770598228
164,164.0,1.0,1.0,1.0,1.0,0.9,2.0,2.0,0.8,1.0,0.8,40.0,-414.3052037592586,4.569773722482594,660.6430912644187,145.41662028738244
165,165.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,1.0,0.8,40.0,-432.2687874790225,4.435883168136524,660.6430912644187,150.40024252936882
166,166.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,40.0,-516.979637010275,4.435883168136524,821.2151640805233,150.40024252936882
167,167.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.9,0.9,50.0,-353.72455661437124,23.078289705525684,783.425647672471,413.3761462330045
168,168.0,1.0,1.0,1.0,1.0,0.4,2.0,1.0,1.0,0.9,0.8,40.0,-407.5216180100786,15.616849859709033,706.3873312644187,327.7843382705584
169,169.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.7,1.0,0.9,50.0,-341.12404684983716,23.078289705525684,703.0346476724711,689.3673296232106
170,170.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.8,30.0,-385.0098998349484,4.435883168136524,574.6441312644188,144.49233681894896
171,171.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.8,30.0,-501.76154700725004,4.435883168136524,745.6361312644187,141.26812398685178
172,172.0,1.0,1.0,1.0,1.0,0.9,2.0,2.0,0.7,0.9,0.9,40.0,-415.5878388809721,9.252881896266334,675.560487672471,280.8164100141726
173,173.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.9,0.9,50.0,-353.72455661437124,23.078289705525684,783.425647672471,413.3761462330045
174,174.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.8,1.0,0.9,60.0,-290.78675279888614,23.078289705525684,729.8316476724711,689.3673296232106
175,175.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.8,1.0,0.8,50.0,-249.3443984486614,23.078289705525684,692.0421312644187,384.8754907586737
176,176.0,1.0,1.0,1.0,1.0,0.7,3.0,1.0,0.9,1.0,0.9,60.0,-297.681169340409,23.078289705525684,646.4746476724711,750.2656973961177
177,177.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.9,0.9,0.9,50.0,-405.86851261110684,19.359945033123836,756.6286476724712,523.297717121561
178,178.0,1.0,1.0,1.0,1.0,0.2,1.0,2.0,1.0,0.9,1.0,60.0,-268.5703400794756,23.078289705525684,821.2151640805233,413.3761462330045
179,179.0,1.0,1.0,1.0,1.0,0.9,3.0,1.0,0.8,0.9,0.8,50.0,-335.7680868359356,10.930340600310041,574.6441312644188,333.9332517144548
180,180.0,1.0,1.0,1.0,1.0,0.8,3.0,2.0,0.7,1.0,0.8,30.0,-357.8803575551782,4.435883168136524,540.6031312644187,132.13600544433473
181,181.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.9,0.7,50.0,-291.0614093462273,23.078289705525684,707.8466148563664,352.4777784600971
182,182.0,1.0,1.0,1.0,1.0,0.3,2.0,2.0,1.0,0.9,0.8,50.0,-282.7254345268279,23.078289705525684,706.3873312644187,474.2745140059118
183,183.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.8,0.9,1.0,50.0,-343.50081065663295,23.078289705525684,767.6211640805233,413.3761462330045
