,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
0,0.0,1.0,1.0,1.0,0.7,1.0,2.0,1.0,1.0,0.9,0.9,40.0,-1763.6738417492083,70.85427533892505,3794.973600605181,1474.997984945687
1,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.8,1.0,50.0,-1158.5323529157604,99.93630214573125,3274.7893206051813,2169.3812808181847
2,2.0,1.0,1.0,1.0,0.3,2.0,1.0,0.9,0.9,0.9,1.0,40.0,-1385.364387572528,95.87431963506812,3314.3551005446634,1529.2687177522337
3,3.0,1.0,1.0,1.0,0.6,3.0,2.0,0.8,0.8,1.0,0.9,30.0,-1447.4771121435258,55.10236126969962,2783.8524804841454,925.8023843461924
4,4.0,1.0,1.0,1.0,0.7,1.0,2.0,0.7,0.7,0.8,1.0,60.0,-702.0809861037955,119.96669715945328,3063.6094204236274,3657.3786655829686
5,5.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.8,0.9,60.0,-597.982769935583,77.9143539830844,2490.4164804841457,2229.212753944023
6,6.0,1.0,1.0,1.0,0.6,2.0,1.0,0.7,0.7,0.8,0.9,50.0,-990.8345445244684,83.79852469307862,2782.312140423627,1746.7476930699306
7,7.0,1.0,1.0,1.0,0.3,2.0,1.0,0.9,0.9,0.9,0.9,30.0,-1718.4577832469286,63.93268598001005,3314.3551005446634,756.8214227055457
8,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,0.9,30.0,-2187.2525036057023,41.50495899604326,3541.383420423627,940.3944270595016
9,9.0,1.0,1.0,1.0,0.1,3.0,2.0,0.8,0.8,1.0,1.0,30.0,-1027.6089358164058,130.58794234320223,2783.8524804841454,1706.9264787309778
10,10.0,1.0,1.0,1.0,0.4,2.0,2.0,1.0,1.0,0.7,0.9,50.0,-664.9528668122563,130.58794234320223,3071.064480605181,2825.016224800978
11,11.0,1.0,1.0,1.0,0.5,3.0,1.0,0.8,0.8,1.0,0.9,30.0,-1541.5814010554334,41.50495899604326,2783.8524804841454,579.6509915410379
12,12.0,1.0,1.0,1.0,0.7,2.0,1.0,0.9,0.9,0.8,1.0,40.0,-1570.690104259593,57.70311697755309,3110.630260544663,1129.7622063257222
13,13.0,1.0,1.0,1.0,0.6,2.0,1.0,0.9,0.9,0.9,0.9,60.0,-867.3265162551207,127.66028995263277,3314.3551005446634,3523.562470924159
14,14.0,1.0,1.0,1.0,0.1,1.0,1.0,0.8,0.8,0.9,1.0,60.0,-486.1761843623733,130.58794234320223,3466.655480484145,1706.9264787309778
15,15.0,1.0,1.0,1.0,0.6,2.0,1.0,0.8,0.8,1.0,1.0,60.0,-938.6100641605215,119.96669715945328,3353.920880484145,3295.1424990305313
16,16.0,1.0,1.0,1.0,0.9,1.0,2.0,0.8,0.8,0.8,1.0,40.0,-1615.263974621557,58.508503492874055,3227.768480484145,1375.6026122407486
17,17.0,1.0,1.0,1.0,0.2,2.0,2.0,0.8,0.8,0.8,0.9,60.0,-125.31645860275052,130.58794234320223,2946.471200484145,1993.5437125796243
18,18.0,1.0,1.0,1.0,0.4,2.0,2.0,1.0,1.0,0.7,0.9,50.0,-664.9528668122563,130.58794234320223,3071.064480605181,2825.016224800978
19,19.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,30.0,-2313.390717513369,41.50495899604326,4033.8606006051814,940.3944270595016
20,20.0,1.0,1.0,1.0,0.8,2.0,1.0,0.7,0.7,0.9,0.9,40.0,-1565.1877488329885,52.38197966632623,2986.036980423627,1058.9245265667419
21,21.0,1.0,1.0,1.0,0.1,3.0,2.0,1.0,1.0,1.0,0.9,60.0,-89.18295862606105,130.58794234320223,3112.170600605181,1577.807456468948
22,22.0,1.0,1.0,1.0,0.2,1.0,2.0,1.0,1.0,0.9,0.9,40.0,-1240.4418143531414,130.58794234320223,3794.973600605181,1993.5437125796243
23,23.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,1.0,0.7,1.0,40.0,-1087.7206082702705,77.404691278589,2672.0166006051813,1237.9646187869655
24,24.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.9,0.9,60.0,-1060.9054448933355,77.9143539830844,3314.3551005446634,2229.212753944023
25,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,0.9,50.0,-1733.2312647475412,60.12499419562551,3541.383420423627,1507.5357020042613
26,26.0,1.0,1.0,1.0,0.9,1.0,1.0,0.7,0.7,0.7,1.0,40.0,-1535.8005692834734,41.50495899604326,2824.7224204236268,892.5688017360948
27,27.0,1.0,1.0,1.0,0.4,3.0,2.0,1.0,1.0,1.0,1.0,40.0,-1132.6784706843812,101.2290504822933,3112.170600605181,1943.7774461077354
28,28.0,1.0,1.0,1.0,0.3,3.0,2.0,0.9,0.9,0.7,0.9,50.0,-291.77365813756614,130.58794234320223,2507.857540544663,2409.279968690301
29,29.0,1.0,1.0,1.0,0.6,2.0,1.0,0.7,0.7,0.7,0.9,60.0,-513.1600498171334,127.66028995263277,2578.5873004236273,3523.562470924159
30,30.0,1.0,1.0,1.0,0.7,1.0,2.0,0.8,0.8,1.0,0.9,50.0,-1405.4444550273117,87.79537208254564,3705.542480484145,2105.675993649822
31,31.0,1.0,1.0,1.0,0.2,2.0,1.0,0.7,0.7,0.9,0.9,30.0,-1487.6534701518563,76.26200830265213,2986.036980423627,821.7505208061527
32,32.0,1.0,1.0,1.0,0.1,3.0,1.0,0.7,0.7,0.7,1.0,50.0,-180.941216286148,130.58794234320223,2179.539420423627,1706.9264787309778
33,33.0,1.0,1.0,1.0,0.9,1.0,2.0,0.9,0.9,0.9,0.9,30.0,-2055.8626987253315,41.50495899604326,3630.8145405446635,868.2457399558089
34,34.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.9,1.0,60.0,-1154.187127941716,119.96669715945328,3794.973600605181,3295.1424990305313
35,35.0,1.0,1.0,1.0,0.8,1.0,1.0,0.7,0.7,0.7,1.0,30.0,-1702.6240098613007,41.50495899604326,2824.7224204236268,820.420114632402
36,36.0,1.0,1.0,1.0,0.6,3.0,2.0,1.0,1.0,0.9,0.9,50.0,-824.3347358802365,107.92427533452445,2965.452600605181,2671.5764762346216
37,37.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9,0.9,1.0,1.0,60.0,-771.291095318215,130.58794234320223,3869.7015405446637,2122.6627348416546
38,38.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.9,1.0,40.0,-1823.9626666982479,70.85427533892505,3794.973600605181,1226.9149160208622
39,39.0,1.0,1.0,1.0,0.3,1.0,2.0,0.9,0.9,0.8,0.9,40.0,-1140.816550063531,130.58794234320223,3391.9275405446633,2409.279968690301
40,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.8,0.9,60.0,-1127.7464331074168,77.404691278589,3063.6094204236274,2203.5834455047147
41,41.0,1.0,1.0,1.0,0.6,2.0,2.0,0.8,0.8,0.8,0.9,50.0,-845.3904836361268,107.92427533452445,2946.471200484145,2671.5764762346216
42,42.0,1.0,1.0,1.0,0.4,1.0,1.0,0.7,0.7,0.9,1.0,60.0,-718.4454172452655,130.58794234320223,3302.496420423627,2954.135247063008
43,43.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.8,0.9,50.0,-923.7735502540668,70.24022911054423,2490.4164804841457,1894.3732176007607
44,44.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.7,1.0,40.0,-1429.3534568179712,41.50495899604326,2578.5873004236273,964.7174888397876
45,45.0,1.0,1.0,1.0,0.1,2.0,1.0,1.0,1.0,0.8,1.0,60.0,-358.5379792575241,130.58794234320223,3274.7893206051813,1706.9264787309778
46,46.0,1.0,1.0,1.0,0.3,3.0,2.0,0.9,0.9,0.8,1.0,60.0,-80.85073885401938,130.58794234320223,2654.5755405446635,2538.398990952331
