n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
42,42,368636.1225,1.0,0.98,0.5,50,0.9,62.581760028,422725.6582059
43,43,572914.292,1.0,0.98,0.1,60,0.95,62.581760028,422746.0506138
44,44,-48570.4389,0.9,1.0,0.1,30,1.0,59.3693386969,422767.8885167
45,45,374857.9174,0.95,0.98,1.0,50,0.98,60.7174345597,422762.4057195
46,46,584402.4877,0.98,0.9,0.7,60,1.0,59.7711114191,422770.0567594
47,47,605843.4262,0.9,0.9,0.3,60,1.0,56.78819067,422768.6112643
48,48,-42936.2524,0.95,0.9,0.1,30,0.95,58.6525161382,422746.0506138
49,49,173985.2721,0.98,0.9,0.4,40,0.9,59.7711114191,422725.2968321
50,50,390289.6157,0.9,0.95,0.6,50,1.0,58.0787646834,422769.6953856
51,51,147180.7901,1.0,0.98,0.7,40,1.0,62.581760028,422770.0567594
52,52,-64776.2111,0.98,0.95,0.3,30,1.0,61.0616854326,422768.6112643
53,53,573689.4346,0.98,0.98,0.9,60,1.0,61.8360298407,422770.7795069
54,54,380679.8396,0.98,0.9,0.5,50,0.95,59.7711114191,422747.4961089
55,55,-23616.8506,0.9,0.9,1.0,30,0.9,56.78819067,422727.4650748
56,56,580707.2482,1.0,0.9,1.0,60,0.98,60.5168416064,422762.4057195
57,57,584402.4877,0.98,0.9,0.7,60,1.0,59.7711114191,422770.0567594
58,58,592307.0026,0.95,0.9,1.0,60,1.0,58.6525161382,422771.1408807
59,59,-53754.3571,0.98,0.95,0.1,30,0.9,61.0616854326,422724.2127108
60,60,-60733.3823,0.95,0.98,1.0,30,1.0,60.7174345597,422771.1408807
61,61,594092.7417,0.95,0.9,0.8,60,0.98,58.6525161382,422761.682972
62,62,579042.2531,1.0,0.9,0.8,60,1.0,60.5168416064,422770.4181332
63,63,178747.5274,0.9,0.95,0.7,40,1.0,58.0787646834,422770.0567594
64,64,578991.1512,0.95,1.0,1.0,60,1.0,61.2336641651,422771.1408807
65,65,375470.5351,1.0,0.9,0.1,50,0.95,60.5168416064,422746.0506138
66,66,-61482.4743,0.95,1.0,0.8,30,0.98,61.2336641651,422761.682972
67,67,584493.0458,0.98,0.9,0.4,60,1.0,59.7711114191,422768.9726381
68,68,163196.89,1.0,0.9,1.0,40,0.95,60.5168416064,422749.3029777
69,69,163689.8998,0.98,0.9,0.7,40,1.0,59.7711114191,422770.0567594
70,70,-39247.4744,0.9,0.95,0.7,30,0.98,58.0787646834,422761.3215982
71,71,377809.9964,0.98,0.95,1.0,50,0.9,61.0616854326,422727.4650748
72,72,-69976.6293,1.0,0.98,0.8,30,0.95,62.581760028,422748.5802302
73,73,-41094.3622,0.9,0.95,0.1,30,1.0,58.0787646834,422767.8885167
74,74,370236.9263,1.0,0.9,0.8,50,1.0,60.5168416064,422770.4181332
75,75,-58201.2776,0.95,0.98,0.2,30,0.98,60.7174345597,422759.5147293
76,76,176823.7937,0.9,0.98,0.2,40,0.98,58.8531090915,422759.5147293
77,77,-57584.9314,1.0,0.9,0.1,30,0.95,60.5168416064,422746.0506138
78,78,167274.7801,0.95,0.95,0.1,40,0.98,59.9430901517,422759.1533556
79,79,390319.8017,0.9,0.95,0.5,50,1.0,58.0787646834,422769.3340118
80,80,-59932.0132,1.0,0.95,0.7,30,0.9,61.8074156199,422726.3809535
81,81,-23444.359,0.9,0.9,0.6,30,0.9,56.78819067,422726.0195797
82,82,605662.3101,0.9,0.9,0.9,60,1.0,56.78819067,422770.7795069
83,83,405878.6746,0.9,0.9,0.7,50,0.9,56.78819067,422726.3809535
84,84,594252.942,0.9,1.0,0.3,60,0.98,59.3693386969,422759.8761031
85,85,-51709.1355,0.98,0.9,0.2,30,0.95,59.7711114191,422746.4119876
86,86,386016.3715,0.95,0.95,0.3,50,0.9,59.9430901517,422724.9354584
87,87,160104.5271,0.98,1.0,0.7,40,0.9,62.352259446,422726.3809535
88,88,378052.4175,0.95,0.98,0.4,50,0.95,60.7174345597,422747.1347351
89,89,582497.3864,0.98,0.98,0.3,60,0.9,61.8360298407,422724.9354584
90,90,-38060.2954,0.95,0.9,1.0,30,0.9,58.6525161382,422727.4650748
91,91,187846.2394,0.9,0.9,0.2,40,0.98,56.78819067,422759.5147293
92,92,382016.9868,0.95,0.95,0.5,50,0.95,59.9430901517,422747.4961089
93,93,574049.3225,1.0,0.95,1.0,60,0.98,61.8074156199,422762.4057195
94,94,609975.7279,0.9,0.9,0.9,60,0.95,56.78819067,422748.941604
95,95,583485.6852,0.95,1.0,0.4,60,0.95,61.2336641651,422747.1347351
96,96,567421.5829,1.0,1.0,0.9,60,0.98,63.0979896333,422762.0443457
97,97,-76279.7712,1.0,1.0,0.8,30,0.98,63.0979896333,422761.682972
98,98,574413.6095,1.0,1.0,0.6,60,0.9,63.0979896333,422726.0195797
99,99,-48384.8073,0.95,0.9,0.4,30,1.0,58.6525161382,422768.9726381
100,100,-58115.5461,0.95,1.0,0.6,30,0.95,61.2336641651,422747.8574827
101,101,583530.6187,0.95,0.98,0.5,60,0.98,60.7174345597,422760.5988507
102,102,-36045.9137,0.9,0.95,0.6,30,0.95,58.0787646834,422747.8574827
103,103,-63311.4728,1.0,0.9,0.7,30,1.0,60.5168416064,422770.0567594
104,104,582437.0144,0.98,0.98,0.5,60,0.9,61.8360298407,422725.6582059
105,105,149692.6674,1.0,1.0,0.2,40,0.95,63.0979896333,422746.4119876
106,106,600820.3096,0.9,0.95,0.6,60,0.98,58.0787646834,422760.9602244
107,107,365942.7662,1.0,1.0,0.6,50,0.9,63.0979896333,422726.0195797
108,108,-46383.3172,0.9,1.0,0.1,30,0.98,59.3693386969,422759.1533556
109,109,587404.63,0.95,0.95,0.9,60,0.98,59.9430901517,422762.0443457
110,110,572993.1196,0.98,1.0,0.1,60,0.98,62.352259446,422759.1533556
111,111,379033.7889,0.95,0.95,0.4,50,0.98,59.9430901517,422760.2374769
112,112,586058.2974,0.95,0.98,0.7,60,0.95,60.7174345597,422748.2188564
113,113,-56156.5703,0.95,0.95,0.9,30,1.0,59.9430901517,422770.7795069
114,114,152735.9128,0.98,0.98,0.5,40,1.0,61.8360298407,422769.3340118
115,115,-40534.6544,0.9,0.98,0.8,30,0.95,58.8531090915,422748.5802302
116,116,-31866.8599,0.9,0.9,0.6,30,0.98,56.78819067,422760.9602244
117,117,167172.0921,0.95,0.95,0.4,40,0.98,59.9430901517,422760.2374769
118,118,151881.921,0.98,1.0,0.9,40,0.98,62.352259446,422762.0443457
119,119,575384.6157,0.98,0.98,1.0,60,0.98,61.8360298407,422762.4057195
120,120,-41396.2225,0.9,0.95,0.8,30,1.0,58.0787646834,422770.4181332
121,121,-31823.737,0.9,0.9,0.5,30,0.98,56.78819067,422760.5988507
