n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
98,98.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.9,1.0,1.0,0.9,30.0,-1061.6729025858635,76.65202721380695,1377.341434468143,1826.4454375241146
99,99.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,0.8,0.9,1.0,30.0,-470.81491629224394,190.19516550018875,1253.4518110213291,1643.0557693199135
100,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.9,45.0,-620.666337324593,132.5792090392728,1069.4610041277003,3502.7365300929982
101,101.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.9,0.7,1.0,0.9,40.0,-367.17203298248415,163.67635912572442,889.81719528091,4076.7413162362272
102,102.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.7,0.9,1.0,1.0,45.0,-27.25541921430602,190.19516550018875,945.76011528091,3868.8805733551358
103,103.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.7,0.7,1.0,60.0,377.0829472806165,190.19516550018875,704.3785806966371,5204.37545577627
104,104.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,0.8,0.7,0.9,40.0,-94.47104184884181,190.19516550018875,885.2415806966371,2458.11310616342
105,105.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.7,0.9,1.0,45.0,171.70151330214932,190.19516550018875,1223.939291021329,1197.8908085128685
106,106.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.9,0.9,0.7,0.9,20.0,-1079.3509162683074,56.00568523776178,960.7825806966371,1403.1316233539267
107,107.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.8,0.9,0.9,1.0,20.0,-1078.413905278192,56.00568523776178,1041.043603752819,1288.8781921645602
108,108.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.9,1.0,40.0,-795.1257817064823,76.65202721380695,965.502603752819,2029.383819471238
109,109.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.4,0.8,0.9,1.0,50.0,223.61563322023076,190.19516550018875,919.474123752819,2533.3856909340016
110,110.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.7,0.7,1.0,30.0,-802.0753803736975,56.00568523776178,809.700580696637,1559.0351370599183
111,111.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,55.0,347.7007576651108,190.19516550018875,1527.801434468143,1197.8908085128685
112,112.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.9,0.7,0.7,0.9,50.0,-92.46266923573152,190.19516550018875,704.3785806966371,4683.937910198643
113,113.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.8,0.7,1.0,25.0,-1066.3143126344808,56.00568523776178,885.2415806966371,1423.9566646122394
114,114.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.7,1.0,0.9,20.0,-944.4470892182378,56.00568523776178,1301.178434468143,457.58231622017337
115,115.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,40.0,-340.4048763856023,190.19516550018875,1376.7194344681432,3423.7156125480915
116,116.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,1.0,0.7,0.9,30.0,-888.060035647964,97.7210875047205,1238.5484041277002,2093.840823790098
117,117.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3,1.0,0.7,0.9,50.0,263.68101754517585,190.19516550018875,1036.323580696637,2012.9481453563756
