n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
537,537,30002.6486,1.0,1.0,0.4,60,1.0,2,1,0,0,1,1,1,0,1,1,0,66.58906059768161,44.52350607263227,26.797522965064207,684.3765651939073,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26190965781017744,11.3759,21.3343,42573.489263884236,946.6384763081,1345.101142
538,538,-310528.8211,1.0,1.0,0.6,35,0.9,2,1,0,0,1,1,1,0,1,1,0,65.89128146665827,44.08279013568446,35.08313023358199,1006.1007032757145,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.613,27.5357,35600.75518983969,1045.9432519314,1122.6305048
539,539,67833.4419,0.8,0.8,0.9,60,1.0,2,1,0,0,1,1,1,0,1,1,0,60.68972892076415,38.812605385490556,35.578285687085554,1128.8596604796726,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.45732645347342094,13.6771,14.8223,41599.7369783458,666.3355998923,1149.2681414
540,540,-603332.2783,0.7,1.0,0.8,20,0.9,2,1,0,0,1,1,1,0,1,1,0,82.05416802142366,63.177520807698144,38.106887033876184,1200.167686017155,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.1971,28.1243,45788.41391203978,1365.2031204757,1338.0952367
541,541,-537106.1339,0.7,0.7,0.9,35,1.0,2,1,0,0,1,1,1,0,1,1,0,65.78072924540604,47.70906895602981,27.751874776976187,862.3144557508156,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.8076,42.3037,33375.59439859911,1478.965008886,1880.8566471
542,542,35332.8585,0.7,0.9,0.8,50,0.9,2,1,0,0,1,1,1,0,1,1,0,42.2779873849385,22.882159340602183,23.659943322493447,617.9055794428142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3729260735707593,6.8516,17.2603,19429.91293507505,361.4681077132,903.6256477
543,543,-43868.1955,0.9,1.0,0.9,35,1.0,2,1,0,0,1,1,1,0,1,1,0,40.321871252000975,22.100865229503466,22.794693883063037,590.4616772921918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.6003,15.6966,19158.25997149125,323.8427197102,1070.2728557
544,544,-96212.8151,0.8,0.7,0.9,45,0.9,2,1,0,0,1,1,1,0,1,1,0,56.00597058298809,35.45821591274582,23.696849052226582,496.07922575704896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3444,23.7767,30601.34226603336,763.8538211423,1258.234612
545,545,-71522.664,0.9,1.0,0.5,40,0.9,2,1,0,0,1,1,1,0,1,1,0,51.80218908567357,31.72192291505999,30.672903609766173,822.4300322707082,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.8943,15.9869,31375.16346499846,539.8019308819,917.6031487
546,546,-158816.1685,0.8,0.7,0.6,25,0.9,2,1,0,0,1,1,1,0,1,1,0,50.943479936309885,30.379177967390987,29.209346902330907,758.8770413060728,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.3108,16.202,27307.156712773693,475.7691313028,908.4075885
547,547,-449642.597,0.7,1.0,0.8,35,0.9,2,1,0,0,1,1,1,0,1,1,0,75.76100259961957,56.40283772891647,34.92221453300634,1067.4290413099604,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.5879,32.5103,41866.89567899221,1436.0860470951,1595.4169097
548,548,-21505.7232,0.8,1.0,0.1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,76.1449683721244,56.1498784777593,33.14454093713715,896.4913193706635,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1439649552803385,9.8674,17.7109,55816.20385797031,1035.9741006847,1257.2473377
549,549,62972.3063,1.0,0.7,0.8,55,1.0,2,1,0,0,1,1,1,0,1,1,0,49.16701406963602,31.414371494352885,29.41980286979536,795.9227858072018,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.49296841706389516,13.3076,13.7472,31467.825519404698,466.0204814813,1083.7734612
550,550,-489965.3639,0.7,1.0,0.9,35,1.0,2,1,0,0,1,1,1,0,1,1,0,88.54890502810235,71.11639503301711,36.0917755289895,1072.3487026695664,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.4909,27.512,57695.690594671614,1664.3427938788,1817.230668
551,551,-5176.0815,0.7,0.7,0.5,55,0.9,2,1,0,0,1,1,1,0,1,1,0,106.88460833410053,84.30523365670012,39.11865429553308,1069.0835277328158,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1978499301330945,9.6534,18.6424,86024.7088396175,1674.4491591384,1384.8835919
552,552,-530121.6877,0.9,0.8,0.7,25,0.9,2,1,0,0,1,1,1,0,1,1,0,76.60227730659498,60.640930186819716,31.865314686982547,912.5775734633951,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.3457,28.1484,47367.84057613789,1395.8955973922,1401.0664821
553,553,60312.8448,0.8,0.8,0.5,55,0.9,2,1,0,0,1,1,1,0,1,1,0,44.65921716255575,24.826679116971587,26.195716116804135,651.6543524623277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5251364653321156,10.5381,14.5719,24394.983625280907,383.6487403986,877.5899051
554,554,-47799.1534,1.0,0.9,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,78.48730410906539,60.55629400505899,32.65609472099036,909.6789737354321,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09139297587430584,12.4418,17.6752,60539.002982934646,1118.8907382344,1430.2401215
555,555,82045.9882,0.9,0.7,0.3,60,0.9,2,1,0,0,1,1,1,0,1,1,0,51.83086269318021,28.22670452115211,28.6441209108365,869.1686369503709,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6001805050306522,8.1284,16.8306,25764.18725449355,467.2469438516,914.3591622
556,556,-191951.4103,0.7,0.9,0.5,55,0.9,2,1,0,0,1,1,1,0,1,1,0,68.20927122153148,46.20121164764792,29.12949428607371,711.5801532492121,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.5563,32.7244,40515.78841497115,1387.6402247285,1372.1495941
557,557,-49347.263,0.7,0.9,0.6,45,0.9,2,1,0,0,1,1,1,0,1,1,0,52.48492858175682,35.28420753959766,31.309661270292835,971.9479094768252,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.016429921120136172,11.0788,15.8571,34647.2066151087,591.0135431049,959.0094867
558,558,6356.5399,1.0,1.0,0.6,50,0.9,2,1,0,0,1,1,1,0,1,1,0,45.94563365480465,27.496268664645147,26.041914732841008,763.7700039148037,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.208190201995606,8.8716,18.0178,24541.615236162048,475.2340967112,919.0434811
559,559,-289366.6557,1.0,0.8,0.3,45,0.9,2,1,0,0,1,1,1,0,1,1,0,68.31485199513291,50.593945301144046,33.48090621876856,1041.6210720660035,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.1331,25.9789,49716.7936775937,1366.5140757626,1198.6590261
560,560,-270607.5788,0.7,0.9,0.6,40,0.9,2,1,0,0,1,1,1,0,1,1,0,76.40465177890844,55.48674233045694,33.083707894026695,895.6820606598807,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.1939,25.054,48894.26224717937,1281.9489750624,1280.2506855
561,561,-106929.4704,0.8,1.0,0.5,45,1.0,2,1,0,0,1,1,1,0,1,1,0,70.21566052263748,52.103568162376874,28.659123811017693,836.5655667809034,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.6035,19.4896,48200.16856337471,980.3927709657,1434.3360501
562,562,-89967.1786,0.9,0.8,0.5,55,1.0,2,1,0,0,1,1,1,0,1,1,0,83.36253981993615,61.89731698826155,35.108132038098105,1031.8984083848288,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.028509614645772723,12.0763,21.9148,61624.18291254474,1416.0995250865,1480.8377341
563,563,-126459.5666,1.0,1.0,0.6,30,0.9,2,1,0,0,1,1,1,0,1,1,0,49.453191235668044,29.864581230776842,27.963856672058398,871.8062773113347,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.2958,17.6831,26161.563671320546,496.9432372961,930.7949637
