n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
127,127.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,1.0,55.0,-103.8264721142356,9.194281154186596,316.1300508254103,189.29972387523057
128,128.0,1.0,0.0,1.0,0.5,2.0,1.0,1.0,1.0,0.7,1.0,30.0,-230.81926788550476,5.063408075481224,329.6422726077289,47.28178621512449
129,129.0,1.0,0.0,1.0,0.2,3.0,1.0,1.0,1.0,0.7,1.0,60.0,-40.43564948231772,11.53015096905002,299.650072607729,173.0327427722763
130,130.0,1.0,0.0,1.0,0.3,1.0,1.0,0.9,0.9,0.8,1.0,50.0,-139.84076549985858,10.751127173934911,352.7500653469561,162.24423974307848
131,131.0,1.0,0.0,1.0,0.3,1.0,1.0,0.9,0.9,0.7,0.9,40.0,-173.79799263091908,8.610257067672498,329.25506534695603,96.75510792562513
132,132.0,1.0,0.0,1.0,0.3,2.0,1.0,1.0,1.0,1.0,0.9,60.0,-107.34021222632546,11.557899957417797,392.44607260772887,174.32572111494085
133,133.0,1.0,0.0,1.0,0.8,3.0,2.0,0.8,0.8,0.8,0.9,30.0,-180.91180948402425,5.063408075481224,279.68005808618324,56.447830850555334
134,134.0,1.0,0.0,1.0,0.3,1.0,2.0,1.0,1.0,0.9,0.9,60.0,-81.95595535985646,11.60563302293498,394.5550726077289,176.8439015291096
135,135.0,1.0,0.0,1.0,0.1,2.0,1.0,0.9,0.9,0.8,0.9,40.0,-160.99139610033922,10.751127173934911,332.2668653469561,123.64305230322225
136,136.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,25.0,-258.51543848464667,2.336191878650031,334.4400580861832,19.512632596506606
137,137.0,1.0,0.0,1.0,0.9,2.0,1.0,0.8,0.8,0.7,0.9,55.0,-101.82326615681745,8.610257067672498,293.0222580861832,150.65520896985043
138,138.0,1.0,0.0,1.0,0.5,1.0,1.0,0.8,0.8,0.9,0.9,50.0,-154.97947548019653,9.744629023205515,357.9350580861831,145.7334716651119
139,139.0,1.0,0.0,1.0,0.2,1.0,1.0,0.8,0.8,1.0,1.0,40.0,-216.55664816119992,9.194281154186596,381.43005808618324,109.10751150035352
140,140.0,1.0,0.0,1.0,0.2,2.0,2.0,0.7,0.7,0.7,1.0,50.0,-48.39977031854105,11.53015096905002,274.71225082541025,173.0327427722763
141,141.0,1.0,0.0,1.0,0.6,3.0,1.0,0.8,0.8,0.9,1.0,20.0,-231.61792323022098,1.7609146983568025,296.3300580861832,10.099099831341308
142,142.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.9,0.9,25.0,-226.47499377739123,2.336191878650031,296.3300580861832,18.773261936204296
143,143.0,1.0,0.0,1.0,0.2,2.0,1.0,1.0,1.0,1.0,1.0,45.0,-195.24207429347473,9.744629023205515,392.44607260772887,122.56219262823461
144,144.0,1.0,0.0,1.0,0.9,2.0,2.0,0.9,0.9,0.9,1.0,25.0,-260.74810146434487,3.304230922637724,353.20146534695607,31.445782727532645
145,145.0,1.0,0.0,1.0,0.6,2.0,1.0,0.8,0.8,0.8,1.0,20.0,-246.18552653600614,1.7609146983568025,313.9568580861832,10.099099831341308
146,146.0,1.0,0.0,1.0,0.1,3.0,1.0,0.7,0.7,0.7,0.9,40.0,-91.55576816616448,10.751127173934911,244.72005082541028,123.64305230322225
147,147.0,1.0,0.0,1.0,0.1,1.0,1.0,0.8,0.8,0.7,0.9,30.0,-199.62529143358213,7.31875125910715,310.94505808618317,56.51201142084822
148,148.0,1.0,0.0,1.0,0.2,2.0,2.0,0.7,0.7,0.7,1.0,45.0,-72.83399609706352,11.499328970392527,274.71225082541025,171.60530579776713
149,149.0,1.0,0.0,1.0,0.4,3.0,1.0,0.7,0.7,0.7,0.9,40.0,-112.73712739928256,7.982795416418341,244.72005082541028,91.16437442246374
150,150.0,1.0,0.0,1.0,0.6,2.0,2.0,0.7,0.7,0.8,0.9,20.0,-221.81135248988667,3.304230922637724,295.6468508254103,23.99069084226162
151,151.0,1.0,0.0,1.0,0.9,1.0,2.0,0.8,0.8,0.7,1.0,40.0,-170.67693814456052,6.6084749817854815,310.94505808618317,98.37799528184044
152,152.0,1.0,0.0,1.0,0.4,3.0,2.0,0.8,0.8,0.7,1.0,60.0,-4.626296667841375,11.557899957417797,263.0300580861832,203.31906295755115
153,153.0,1.0,0.0,1.0,0.1,2.0,2.0,1.0,1.0,0.7,0.9,50.0,-71.44547808377982,11.53015096905002,329.6422726077289,144.18088776590844
154,154.0,1.0,0.0,1.0,0.1,3.0,2.0,0.7,0.7,0.9,0.9,50.0,-38.86417530017425,11.53015096905002,278.0200508254103,144.18088776590844
155,155.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,1.0,0.7,0.9,20.0,-270.96920299460714,1.7609146983568025,347.5650726077289,9.59501753777893
156,156.0,1.0,0.0,1.0,0.5,3.0,2.0,0.9,0.9,0.8,1.0,50.0,-81.34294667817869,10.751127173934911,297.9900653469561,188.56984382019425
