n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
101,101.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.1,0.7,1.0,0.9,55.0,356.4936090433449,190.19516550018875,930.09211528091,1122.6182237422863
102,102.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.7,0.7,0.8,65.0,874.227590240923,190.19516550018875,1029.1860841277005,2828.0054821998824
103,103.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.7,0.9,1.0,0.7,45.0,-290.9183302199019,190.19516550018875,1081.17411528091,3643.0628190433886
104,104.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.4,1.0,0.8,0.8,55.0,220.17109774023973,190.19516550018875,1018.9184922247282,2382.8405213928377
105,105.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,1.0,0.9,0.8,65.0,-102.23455361736916,190.19516550018875,1450.5622910213292,4163.500364621017
106,106.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.8,0.8,0.8,1.0,55.0,-128.9279443776027,190.19516550018875,925.372092224728,4314.04553416218
107,107.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,0.8,0.7,55.0,-55.82337470792345,190.19516550018875,1246.0001075745145,4978.557701464523
108,108.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.5,0.7,1.0,1.0,55.0,515.4209304660992,190.19516550018875,930.09211528091,2978.5506517410463
109,109.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.9,0.8,1.0,55.0,389.56737362688864,190.19516550018875,1297.7821475745145,1643.0557693199135
110,110.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.9,0.7,0.7,0.9,55.0,-69.60813816684066,190.19516550018875,704.3785806966371,4683.937910198643
111,111.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.9,0.7,0.7,0.9,55.0,-437.29425963418794,163.03839425156465,1029.1860841277005,4057.0554497960716
112,112.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.6,0.9,0.8,0.9,55.0,286.67404239636966,190.19516550018875,1246.0001075745145,3348.44302777751
113,113.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.7,0.9,1.0,0.8,55.0,-187.703277674802,190.19516550018875,945.76011528091,3718.335403813972
114,114.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.9,0.8,0.7,0.9,55.0,-152.8409578400673,190.19516550018875,839.2131006966371,4683.937910198643
115,115.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.9,0.9,1.0,0.7,45.0,-225.30010486142763,190.19516550018875,1029.39207528091,4533.3927406574785
116,116.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.3,0.7,0.9,1.0,55.0,210.02385012821264,190.19516550018875,849.6866837528191,2088.2207301269577
117,117.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.8,0.9,0.9,55.0,205.1596951057237,190.19516550018875,1179.1122910213292,2903.2780669704653
118,118.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.4,1.0,0.8,0.7,65.0,872.9142512871275,190.19516550018875,1222.8631475745144,2307.5679366222553
119,119.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.7,0.7,0.9,0.8,45.0,-446.8677583740285,158.41188565562595,849.6866837528191,3106.4099472287344
120,120.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,0.7,1.0,0.7,55.0,-2.3015202923390286,190.19516550018875,1260.9035144681432,3643.0628190433886
121,121.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.4,0.7,0.9,0.7,55.0,161.28416934330508,190.19516550018875,849.6866837528191,2307.5679366222553
122,122.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.4,1.0,0.8,0.8,55.0,220.17109774023973,190.19516550018875,1018.9184922247282,2382.8405213928377
123,123.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.5,1.0,0.9,0.9,65.0,423.990515857248,190.19516550018875,966.124603752819,2903.2780669704653
124,124.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.6,0.7,0.7,1.0,55.0,-15.911886802286084,190.19516550018875,769.425660696637,3423.7156125480915
125,125.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.1,0.9,1.0,1.0,45.0,48.610037094137205,190.19516550018875,1316.8464344681431,1197.8908085128685
126,126.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.9,0.8,65.0,404.89631742539734,190.19516550018875,1299.480291021329,3273.170443006927
127,127.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.9,0.9,0.9,1.0,55.0,-50.586759487498,190.19516550018875,1323.239251021329,4759.210494969224
128,128.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.3,1.0,0.8,0.9,55.0,150.38876310017392,190.19516550018875,1315.7875475745145,2012.9481453563756
129,129.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.2,1.0,1.0,0.7,55.0,613.1450116080831,190.19516550018875,1377.341434468143,1417.2380150081663
130,130.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.8,0.9,1.0,55.0,111.09841716782122,190.19516550018875,845.1346037528192,5204.37545577627
131,131.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.7,0.8,0.8,0.9,45.0,-193.17001416379088,190.19516550018875,879.3436122247281,3793.6079885845534
132,132.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.2,0.7,0.7,1.0,55.0,267.18290836313497,190.19516550018875,964.1390041277003,1643.0557693199135
133,133.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.5,0.7,0.8,1.0,45.0,-162.62697203190146,190.19516550018875,1041.3781475745143,2978.5506517410463
134,134.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.2,0.7,0.7,0.7,55.0,609.406025087301,190.19516550018875,704.3785806966371,1417.2380150081663
135,135.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.9,1.0,0.7,0.7,55.0,11.107101805064469,190.19516550018875,885.863580696637,4533.3927406574785
136,136.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3,0.7,0.7,0.8,55.0,677.8935727193284,190.19516550018875,1069.4610041277003,1937.6755605857932
137,137.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.8,1.0,1.0,65.0,-274.70626212949054,190.19516550018875,1376.7194344681432,5204.37545577627
138,138.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.9,0.9,0.9,1.0,55.0,-430.32427143070385,190.19516550018875,1323.239251021329,4759.210494969224
139,139.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.4,1.0,0.8,0.7,65.0,474.5756516531197,190.19516550018875,1076.4540922247281,2307.5679366222553
140,140.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.8,0.8,0.7,0.7,55.0,393.3535282498871,190.19516550018875,764.8735806966372,4088.2277798504347
141,141.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.9,0.8,0.9,0.8,55.0,-310.06487096652864,190.19516550018875,1179.1122910213292,4608.665325428061
142,142.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6,0.7,1.0,0.9,65.0,608.123189426865,190.19516550018875,1301.178434468143,3348.44302777751
143,143.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.5,0.7,0.7,0.9,45.0,-41.39602808527217,190.19516550018875,809.700580696637,2903.2780669704653
144,144.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.3,0.8,0.8,0.8,55.0,441.81814815816114,190.19516550018875,805.0040922247281,1937.6755605857932
145,145.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.3,0.9,0.9,0.7,55.0,495.35460681260383,190.19516550018875,989.261563752819,1862.4029758152108
146,146.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.8,0.9,0.9,0.8,55.0,18.9448156966384,190.19516550018875,989.261563752819,4163.500364621017
147,147.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.9,1.0,0.8,1.0,55.0,-216.38190126493794,190.19516550018875,925.9940922247281,4759.210494969224
148,148.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.7,1.0,1.0,0.7,45.0,-238.760137300056,190.19516550018875,1006.2551152809101,3643.0628190433886
149,149.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.2,0.8,0.9,0.9,45.0,50.587466703595304,190.19516550018875,1179.1122910213292,1567.7831845493306
150,150.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.6,0.9,1.0,0.7,55.0,-166.32315091180163,190.19516550018875,1081.17411528091,3197.897858236344
151,151.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,0.7,1.0,65.0,179.4520297127972,190.19516550018875,960.7825806966371,5204.37545577627
152,152.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.4,0.7,1.0,0.8,55.0,452.11131472688345,190.19516550018875,1301.178434468143,2382.8405213928377
153,153.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.8,0.8,0.9,0.7,65.0,74.30716025056135,190.19516550018875,845.1346037528192,4088.2277798504347
154,154.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,1.0,0.9,0.9,55.0,15.995007830119487,190.19516550018875,1393.0266910213288,4238.772949391597
