n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,DAKOTA_WF_CAIPAL,DAKOTA_WF_456,DAKOTA_WF_7,DAKOTA_WF_123,DAKOTA_WF_89,D_DLLO_IAV_89,DAKOTA_IAV_123,DAKOTA_IAV_456,DAKOTA_IAV_7,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
42,42,-89241.1815,0.0,0.19999999999999996,0.8,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0478112610389602,15.3004,19.611,70599.37952535566,1451.3130658439,1399.7683
43,43,-96695.8092,0.19999999999999996,0.19999999999999996,1.0,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.043919645896860475,15.9743,19.0904,72418.17280792864,1450.5147677775,1259.5157
44,44,-78988.6323,0.19999999999999996,0.0,0.8,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07156775943696392,14.5176,19.113,72418.17280792864,1452.2301359275,1204.2432
45,45,-61659.1419,0.30000000000000004,0.09999999999999998,0.5,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0913190962500294,13.057,19.6064,70599.37952535566,1450.9734629504,1316.8596
46,46,-27578.4108,0.09999999999999998,0.19999999999999996,0.1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14890130630127793,10.0659,19.6056,70599.37952535566,1450.9138634333,1206.3146
47,47,-88335.2239,0.30000000000000004,0.30000000000000004,0.8,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.049254022888772994,15.3004,19.5832,70599.37952535566,1449.2580948004,1399.7683
48,48,-60374.8259,0.19999999999999996,0.19999999999999996,0.6,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10153481106364177,13.061,19.0904,72418.17280792864,1450.5147677775,1148.9707
49,49,-96695.8092,0.19999999999999996,0.19999999999999996,1.0,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.043919645896860475,15.9743,19.0904,72418.17280792864,1450.5147677775,1259.5157
50,50,-60021.6288,0.19999999999999996,0.30000000000000004,0.6,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10213095864444488,13.061,19.0791,72418.17280792864,1449.6570837025,1148.9707
51,51,-78817.0223,0.09999999999999998,0.09999999999999998,0.8,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07184905604575414,14.5176,19.107,72418.17280792864,1451.7715475083,1204.2432
