n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
897,897,493361.095,0.91,1.0,0.4,55,0.91,792.5479793788,422729.6644127
898,898,163109.5784,0.97,0.97,0.1,40,0.94,804.0403425103,422741.6830332
899,899,390958.0031,0.91,0.97,0.7,50,0.94,779.8006156973,422743.8512758
900,900,595098.333,0.91,0.96,0.6,60,1.0,775.5514944702,422769.6953856
901,901,482623.3332,0.96,0.96,0.9,55,0.94,795.7512668143,422744.5740234
902,902,164484.9394,0.95,0.97,0.2,40,0.98,795.9604335727,422759.5147293
903,903,-163119.373,0.92,0.96,0.2,25,0.95,779.591448939,422746.4119876
904,904,161460.547,1.0,0.92,1.0,40,0.94,794.9145997811,422744.9353972
905,905,582589.1075,0.97,0.96,0.5,60,0.96,799.7912212832,422751.8636895
906,906,-183955.9267,0.97,0.97,0.3,25,0.98,804.0403425103,422759.8761031
907,907,69260.2374,0.92,0.95,0.2,35,0.96,775.3423277119,422750.7795681
908,908,-30320.8572,0.91,0.92,0.6,30,0.91,758.5550095616,422730.3871603
909,909,-186483.0956,0.97,1.0,0.7,25,0.96,816.7877061918,422752.586437
910,910,-331090.9609,0.97,1.0,1.0,20,0.94,816.7877061918,422744.9353972
911,911,153823.6398,0.98,0.98,0.3,40,0.99,812.3294182063,422764.2436837
912,912,489970.7328,0.91,1.0,0.2,55,0.95,792.5479793788,422746.4119876
913,913,165769.7276,0.93,1.0,0.4,40,0.98,800.6278883165,422760.2374769
914,914,-66340.7637,0.99,0.97,0.2,30,0.96,812.120251448,422750.7795681
915,915,74029.991,0.91,0.92,0.4,35,0.98,758.5550095616,422760.2374769
916,916,389382.4361,0.95,0.91,0.4,50,0.93,770.4657062098,422738.3995739
917,917,602888.9631,0.93,0.92,0.5,60,0.91,766.6349184992,422730.0257865
918,918,494810.8792,0.92,0.93,0.5,55,0.97,766.8440852576,422756.2312701
919,919,-162214.8698,0.93,0.92,0.1,25,0.97,766.6349184992,422754.785775
920,920,606614.3887,0.91,0.92,0.1,60,0.93,758.5550095616,422737.3154526
921,921,-335087.2912,0.98,0.96,0.5,20,0.99,803.831175752,422764.9664312
922,922,-36923.0499,0.91,0.93,0.3,30,0.96,762.8041307887,422751.1409419
923,923,152367.705,1.0,0.95,0.6,40,0.99,807.6619634625,422765.327805
924,924,-325680.6825,0.97,0.97,0.2,20,0.94,804.0403425103,422742.044407
925,925,63302.5134,0.95,0.97,0.4,35,0.91,795.9604335727,422729.6644127
926,926,70984.3009,0.91,0.95,0.2,35,0.97,771.302373243,422755.1471487
927,927,483762.5621,0.93,0.98,0.5,55,0.99,792.1296458622,422764.9664312
928,928,41214.0506,0.99,0.99,1.0,35,0.99,820.6184939023,422766.7733001
929,929,-59148.9611,0.98,0.92,0.3,30,0.99,786.8346908434,422764.2436837
930,930,167886.5578,0.92,0.99,0.3,40,1.0,792.3388126205,422768.6112643
931,931,279954.8028,0.95,0.94,0.5,45,0.93,783.2130698912,422738.7609477
932,932,377117.2783,0.94,0.97,0.1,50,1.0,791.9204791038,422767.8885167
933,933,-46458.4263,0.95,0.93,0.5,30,0.94,778.9639486641,422743.1285283
934,934,593413.0283,0.94,0.92,0.2,60,0.99,770.6748729681,422763.8823099
935,935,-38848.3568,0.91,0.95,0.4,30,0.95,771.302373243,422747.1347351
936,936,62295.5244,0.96,0.95,0.4,35,0.92,791.5021455872,422734.0319933
937,937,-47292.4396,0.96,0.91,0.1,30,0.95,774.5056606786,422746.0506138
938,938,-160173.0665,0.93,0.92,0.7,25,0.95,766.6349184992,422748.2188564
939,939,153979.2459,1.0,0.96,0.8,40,0.96,811.9110846897,422752.9478108
940,940,-328038.6705,0.98,0.91,0.2,20,1.0,782.5855696162,422768.2498905
941,941,-163305.1147,0.93,0.91,0.8,25,0.99,762.3857972721,422766.0505526
942,942,572388.0355,0.98,0.99,0.8,60,1.0,816.5785394335,422770.4181332
943,943,-49088.4365,0.93,1.0,1.0,30,0.92,800.6278883165,422736.200236
944,944,181009.9649,0.91,0.98,0.8,40,0.91,784.0497369245,422731.1099078
945,945,-308061.2115,0.92,0.91,0.5,20,1.0,758.3458428033,422769.3340118
946,946,50764.1531,1.0,0.94,0.1,35,0.94,803.4128422354,422741.6830332
947,947,591093.1444,0.97,0.91,0.1,60,0.94,778.5456151474,422741.6830332
948,948,-326410.2692,0.98,0.98,0.8,20,0.91,812.3294182063,422731.1099078
949,949,284808.6515,0.92,0.97,1.0,45,0.92,783.8405701662,422736.200236
950,950,369431.4289,0.99,0.98,0.3,50,0.93,816.3693726751,422738.0382001
951,951,476234.5368,0.97,0.95,0.5,55,1.0,795.542100056,422769.3340118
952,952,594307.7519,0.93,0.94,0.1,60,0.98,775.1331609536,422759.1533556
953,953,272665.3994,0.99,0.93,0.4,45,0.91,795.1237665394,422729.6644127
954,954,398384.5433,0.92,0.91,0.6,50,0.91,758.3458428033,422730.3871603
955,955,275044.2901,0.96,0.95,0.2,45,0.94,791.5021455872,422742.044407
956,956,65896.6488,0.93,0.99,0.8,35,0.91,796.3787670893,422731.1099078
957,957,58489.0241,0.99,0.91,0.6,35,0.93,786.6255240851,422739.1223215
958,958,43423.734,0.99,0.99,0.5,35,0.97,820.6184939023,422756.2312701
959,959,-304658.1327,0.92,0.97,0.9,20,0.91,783.8405701662,422731.4712816
960,960,167013.225,0.96,0.93,0.9,40,0.98,783.0039031329,422762.0443457
961,961,468576.5819,0.98,1.0,0.7,55,0.98,820.8276606606,422761.3215982
962,962,47659.8391,0.99,0.96,0.2,35,0.97,807.8711302208,422755.1471487
963,963,-184629.0304,0.99,0.92,0.1,25,1.0,790.8746453122,422767.8885167
964,964,379569.1465,0.94,0.95,0.8,50,1.0,783.4222366495,422770.4181332
965,965,-175453.2347,0.94,0.96,0.6,25,1.0,787.6713578767,422769.6953856
966,966,49386.3474,1.0,0.95,0.1,35,0.94,807.6619634625,422741.6830332
967,967,493070.7646,0.92,0.95,0.3,55,0.96,775.3423277119,422751.1409419
968,968,62975.9249,0.94,0.94,0.6,35,0.98,779.1731154224,422760.9602244
969,969,388211.3709,0.91,0.96,0.9,50,0.98,775.5514944702,422762.0443457
970,970,54777.5493,0.94,1.0,0.4,35,0.98,804.6678427853,422760.2374769
971,971,177028.3533,0.95,0.93,0.5,40,0.91,778.9639486641,422730.0257865
972,972,-59457.6528,0.97,0.97,0.5,30,0.95,804.0403425103,422747.4961089
973,973,282250.2316,0.92,0.93,0.5,45,1.0,766.8440852576,422769.3340118
974,974,53174.8625,0.97,0.98,1.0,35,0.94,808.2894637375,422744.9353972
