n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
508,508.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.6,0.9,1.0,1.0,50.0,-101.1236840317682,107.28334889774962,649.90167528091,2235.5235753487414
509,509.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.7,1.0,0.7,1.0,60.0,304.51387336396965,107.28334889774962,479.9035806966371,2545.452947104331
510,510.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.5,0.9,1.0,1.0,25.0,-556.6175048386474,22.074667526002244,580.3961152809101,429.9090722587611
511,511.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.3,0.9,1.0,1.0,60.0,26.096428527846985,107.28334889774962,692.7701152809101,1305.7354600819706
512,512.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.8,0.9,1.0,1.0,25.0,-752.4267431628263,22.074667526002244,692.7701152809101,641.0690256833071
513,513.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.7,1.0,1.0,1.0,45.0,-260.465141983797,105.31286268931478,600.2951152809101,2485.2567245945474
514,514.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.8,0.9,0.8,0.9,55.0,115.19393171075225,107.28334889774962,500.1350922247281,2817.7875843784013
515,515.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.2,0.9,0.8,0.9,25.0,-316.6746821761249,107.28334889774962,569.6406522247281,958.2113538448607
516,516.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.1,1.0,0.8,1.0,50.0,339.3132759852463,107.28334889774962,520.034092224728,685.8767165707904
517,517.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.8,0.9,1.0,0.9,50.0,-518.0006742921574,51.036069720851245,649.90167528091,1272.0931916945017
518,518.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,0.8,0.9,40.0,-426.82508457285917,78.23144437675305,597.2624922247281,1318.5753164689288
519,519.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,30.0,-732.823054355903,22.074667526002244,612.5090922247281,781.8423279663377
520,520.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.7,1.0,20.0,-865.7534269661749,22.074667526002244,604.7635806966371,781.8423279663377
521,521.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.1,1.0,0.7,0.9,20.0,-324.6517555489,107.28334889774962,557.1319806966371,648.2819820892704
522,522.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9,60.0,371.10796114868833,107.28334889774962,725.1551152809101,958.2113538448607
523,523.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.1,0.9,0.8,0.9,55.0,319.9440420666374,107.28334889774962,500.1350922247281,648.2819820892704
524,524.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.2,0.9,0.8,1.0,50.0,56.132569411787685,107.28334889774962,500.1350922247281,995.8060883263804
525,525.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.4,1.0,0.8,0.9,50.0,223.30726578584247,107.28334889774962,597.2624922247281,1578.070097356041
526,526.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.3,0.9,0.7,0.9,60.0,471.48461948809666,107.28334889774962,460.0045806966371,1268.1407256004507
527,527.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.9,1.0,35.0,-528.324068106143,51.036069720851245,685.0246037528191,1010.6912916809576
528,528.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.1,0.9,0.7,0.9,40.0,51.92409816924939,107.28334889774962,529.5101406966371,648.2819820892704
529,529.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.6,1.0,1.0,1.0,60.0,-180.02903695027828,107.28334889774962,677.52351528091,2235.5235753487414
530,530.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.5,1.0,0.7,0.9,45.0,-119.92281359063433,107.28334889774962,479.9035806966371,1887.9994691116308
531,531.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.8,0.9,0.8,0.9,50.0,-141.90734685056626,107.28334889774962,500.1350922247281,2817.6548108284014
532,532.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.1,0.9,0.7,0.9,50.0,161.40858385353488,107.28334889774962,460.0045806966371,648.2819820892704
533,533.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.9,60.0,-98.34391532121532,107.28334889774962,677.52351528091,1887.9994691116308
534,534.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.3,1.0,0.7,0.9,30.0,-233.12328740346175,107.28334889774962,479.9035806966371,1268.1407256004507
535,535.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.4,0.9,0.7,0.9,20.0,-479.89947382491914,22.074667526002244,460.0045806966371,351.72483946212736
