n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
1629,1629.0,1.0,1.0,2.0,0.7,1.0,1.0,0.8,0.7,0.9,1.0,35.0,-1920.6203382274152,41.50495899604326,3320.8064276844,748.2714275287093
1630,1630.0,1.0,1.0,2.0,0.2,2.0,2.0,0.7,0.9,0.8,0.7,20.0,-1658.2051884817015,58.508503492874055,3074.0102460231174,482.17017935490753
1631,1631.0,1.0,1.0,2.0,0.5,1.0,2.0,0.9,0.7,0.7,0.8,55.0,-730.8891360717497,130.58794234320223,2861.3424349451725,3111.6334586496246
1632,1632.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,0.7,0.9,0.7,20.0,-1775.4186207783807,41.50495899604326,2491.2854276844,891.7483034989297
1633,1633.0,1.0,1.0,2.0,0.4,1.0,2.0,0.7,0.8,1.0,0.7,25.0,-2028.0223224781184,52.38197966632623,3687.232473223372,609.5186298119629
1634,1634.0,1.0,1.0,2.0,0.5,2.0,1.0,0.9,0.8,0.7,1.0,60.0,-526.8241694715546,130.58794234320223,2761.056367744918,3369.8715031736847
1635,1635.0,1.0,1.0,2.0,0.3,3.0,2.0,0.8,0.7,0.9,0.9,25.0,-1258.880400677305,65.38964683097035,2491.2854276844,782.3638142141774
1636,1636.0,1.0,1.0,2.0,0.8,3.0,2.0,1.0,0.8,0.8,0.9,45.0,-1131.1926638718398,63.93268598001005,2527.036495005691,1391.815241562431
1637,1637.0,1.0,1.0,2.0,0.3,3.0,1.0,0.9,0.8,0.9,0.7,60.0,-386.3354664225371,130.58794234320223,2655.444487744918,2151.041924166241
1638,1638.0,1.0,1.0,2.0,0.4,3.0,2.0,0.8,0.7,0.8,0.7,35.0,-835.0766713755625,97.69713597956785,2344.5674276844,1591.0766761244042
1639,1639.0,1.0,1.0,2.0,0.1,1.0,1.0,0.7,0.9,0.7,0.8,20.0,-1750.6740868419824,44.595001556516095,3116.420526023117,289.9230728562473
1640,1640.0,1.0,1.0,2.0,0.4,1.0,2.0,0.9,0.8,0.8,0.7,55.0,-557.2544582734736,130.58794234320223,3246.078487744918,2566.7781802769177
1641,1641.0,1.0,1.0,2.0,0.6,3.0,2.0,0.7,0.8,0.8,0.8,35.0,-1092.718296314703,69.5758161957147,2472.1064732233726,1243.1062889468694
1642,1642.0,1.0,1.0,2.0,0.5,1.0,2.0,0.7,1.0,0.9,0.8,35.0,-1844.007506116616,68.90193226572049,3740.043578822863,1082.8307719049378
1643,1643.0,1.0,1.0,2.0,0.3,2.0,1.0,0.7,0.8,0.7,0.9,60.0,-270.81181346067757,130.58794234320223,2724.4363532233724,2409.279968690301
1644,1644.0,1.0,1.0,2.0,0.5,1.0,1.0,0.8,0.7,0.8,1.0,50.0,-1098.8760472053036,99.93630214573125,3081.9194276844005,2169.3812808181847
1645,1645.0,1.0,1.0,2.0,0.9,3.0,1.0,0.8,0.9,1.0,1.0,50.0,-1293.0471835881056,63.93268598001005,2929.70153328389,1560.5723532661873
1646,1646.0,1.0,1.0,2.0,0.1,1.0,1.0,1.0,0.9,1.0,1.0,50.0,-1256.5224267233643,130.58794234320223,3888.0115478054367,1706.9264787309778
1647,1647.0,1.0,1.0,2.0,0.8,1.0,1.0,0.8,1.0,0.7,1.0,30.0,-1960.9653318023957,41.50495899604326,3280.579586083635,820.420114632402
1648,1648.0,1.0,1.0,2.0,0.3,3.0,2.0,0.9,0.7,0.7,0.7,60.0,-35.40176030693752,130.58794234320223,2216.1594349451725,2151.041924166241
